author_id,author,birth_year,sex,ethnicity
375,MAHATHIR BIN MOHAMAD,1926.0,male,bumiputera
698,LIM KIT SIANG,1941.0,male,chinese
848,KARPAL SINGH A/L RAM SINGH,1941.0,male,other
872,TENGKU RAZALEIGH BIN TENGKU HAMZAH,1937.0,male,bumiputera
985,S. SUBRAMANIAM,1953.0,male,indian
991,RAIS BIN YATIM,1943.0,male,bumiputera
1216,MOHD. NAJIB BIN TUN HAJI ABDUL RAZAK,1954.0,male,bumiputera
1228,RAFIDAH BINTI ABD. AZIZ,1944.0,female,bumiputera
1238,TAN SENG GIAW,1943.0,male,chinese
1426,ANWAR BIN IBRAHIM,1947.0,male,bumiputera
1444,ZAINAL ABIDIN BIN AHMAD,1939.0,male,bumiputera
1613,ISMAIL BIN HAJI MOHAMED SAID,1966.0,male,bumiputera
1644,MUHAMMAD LEO MICHAEL TOYAD ABDULLAH,1950.0,male,bumiputera
1663,MOHD RADZI BIN TAN SRI SHEIKH AHMAD,1942.0,male,bumiputera
1665,SHAHIDAN BIN KASSIM,1951.0,male,bumiputera
1676,OTHMAN BIN ABDUL,1951.0,male,bumiputera
1692,IBRAHIM ALI,1951.0,male,bumiputera
1712,ABDUL HADI BIN HAJI AWANG,1947.0,male,bumiputera
1804,WEE CHOO KEONG,1953.0,male,chinese
1825,TAN KOK WAI,1957.0,male,chinese
1839,LIM GUAN ENG,1961.0,male,chinese
1860,HASSAN BIN ABDUL KARIM,1951.0,male,bumiputera
1895,JOSEPH PAIRIN KITINGAN,1941.0,male,bumiputera
1898,BERNARD GILUK DOMPOK,1950.0,male,bumiputera
1958,UGAK ANAK KUMBONG,1962.0,male,bumiputera
1965,WONG HO LENG,1960.0,male,chinese
1981,CHOR CHEE HEUNG,1955.0,male,chinese
2081,NGEH KOO HAM,1961.0,male,chinese
2113,PALANIVEL A/L K. GOVINDASAMY,1949.0,male,indian
2119,ONG TEE KEAT,1956.0,male,chinese
2128,FONG KUI LUN,1946.0,male,chinese
2187,MOHAMED KHALED BIN HAJI NORDIN,1958.0,male,bumiputera
2190,ONG KA TING,1957.0,male,chinese
2224,MOHAMADDIN BIN KETAPI,1958.0,male,bumiputera
2230,ROHANI BINTI HAJI ABDUL KARIM,1955.0,female,bumiputera
2232,YONG KHOON HIAN @ YONG KHOON SENG,1942.0,male,chinese
2236,RICHARD RIOT ANAK JAEM,1951.0,male,bumiputera
2242,WAN JUNAIDI BIN TUANKU JAAFAR,1946.0,male,bumiputera
2254,WILLIAM MAWAN IKOM,1950.0,male,bumiputera
2258,ROBERT LAU HOI CHEW,1942.0,male,chinese
2265,BILLY ABIT JOO,1950.0,male,bumiputera
2273,PETER CHIN FAH KUI,1946.0,male,bumiputera
2289,AZMI BIN KHALID,1941.0,male,bumiputera
2333,MUSTAPA BIN MOHAMED,1951.0,male,bumiputera
2368,MOHAMED NAZRI BIN TAN SRI ABDUL AZIZ,1954.0,male,bumiputera
2393,AHMAD ZAHID BIN HAMIDI,1953.0,male,bumiputera
2404,FAUZI ABDUL RAHMAN,1947.0,male,bumiputera
2411,TENGKU AZLAN IBNI ALMARHUM SULTAN ABU BAKAR,1950.0,male,bumiputera
2416,NOH BIN HAJI OMAR,1958.0,male,bumiputera
2436,TAN YEE KEW,1953.0,female,chinese
2447,TAN KEE KWONG,1947.0,male,chinese
2471,FONG CHAN ONN,1944.0,male,chinese
2501,MOHAMED HANIPA BIN MAIDIN,1969.0,male,bumiputera
2550,CHUA SOON BUI,1955.0,female,chinese
2574,TIONG THAI KING,1946.0,male,chinese
2586,JACOB DUNGAU SAGAN,1947.0,male,bumiputera
