author_id,vol,author,birth_year,sex,ethnicity,party,negeri,area,kod_kawasan,exec_posts,service_posts,start_date,end_date
375,14,MAHATHIR BIN MOHAMAD,1926,male,bumiputera,BERSATU,Kedah,LANGKAWI,P004,,,2018-05-09,2020-05-28
375,14,MAHATHIR BIN MOHAMAD,1926,male,bumiputera,BEBAS,Kedah,LANGKAWI,P004,,,2020-05-28,2020-08-12
375,14,MAHATHIR BIN MOHAMAD,1926,male,bumiputera,PEJUANG,Kedah,LANGKAWI,P004,,,2020-08-12,2022-10-10
698,12,LIM KIT SIANG,1941,male,chinese,DAP,Perak,Ipoh Timur,P064,,,2008-03-08,2013-04-03
698,13,LIM KIT SIANG,1941,male,chinese,DAP,Johor,Gelang Patah,P162,,,2013-05-05,2018-04-07
698,14,LIM KIT SIANG,1941,male,chinese,PH - DAP,Johor,ISKANDAR PUTERI,P162,,,2018-05-09,2022-10-10
848,12,KARPAL SINGH A/L RAM SINGH,1941,male,other,DAP,Pulau Pinang,Bukit Gelugor,P051,,,2008-03-08,2013-04-03
848,13,KARPAL SINGH A/L RAM SINGH,1941,male,other,DAP,Pulau Pinang,Bukit Gelugor,P051,,,2013-05-05,2014-04-17
872,12,TENGKU RAZALEIGH BIN TENGKU HAMZAH,1937,male,bumiputera,BN - UMNO,Kelantan,Gua Musang,P032,,,2008-03-08,2013-04-03
872,13,TENGKU RAZALEIGH BIN TENGKU HAMZAH,1937,male,bumiputera,BN - UMNO,Kelantan,Gua Musang,P032,,,2013-05-05,2018-04-07
872,14,TENGKU RAZALEIGH BIN TENGKU HAMZAH,1937,male,bumiputera,BN - UMNO,Kelantan,GUA MUSANG,P032,,,2018-05-09,2022-10-10
985,12,S. SUBRAMANIAM,1953,male,indian,BN - MIC,Johor,Segamat,P140,Menteri Sumber Manusia,,2008-03-08,2013-04-03
985,13,S. SUBRAMANIAM,1953,male,indian,BN - MIC,Johor,Segamat,P140,Menteri Kesihatan,,2013-05-05,2018-04-07
991,12,RAIS BIN YATIM,1943,male,bumiputera,BN - UMNO,Negeri Sembilan,Jelebu,P126,"Menteri Penerangan, Komunikasi dan Kebudayaan",,2008-03-08,2013-04-03
991,14,RAIS BIN YATIM,1943,male,bumiputera,BERSATU,,,,,Yang di-Pertua Dewan Negara,2018-05-09,2022-10-10
991,14,RAIS BIN YATIM,1943,male,bumiputera,BERSATU,,,,,Yang di-Pertua Dewan Negara,2020-06-16,2023-06-15
1216,12,MOHD. NAJIB BIN TUN HAJI ABDUL RAZAK,1954,male,bumiputera,BN - UMNO,Pahang,Pekan,P085,"Perdana Menteri, Menteri Kewangan, dan Menteri Pembangunan Wanita, Keluarga dan Masyarakat",,2008-03-08,2013-04-03
1216,13,MOHD. NAJIB BIN TUN HAJI ABDUL RAZAK,1954,male,bumiputera,BN - UMNO,Pahang,Pekan,P085,Perdana Menteri Malaysia/Menteri Kewangan,,2013-05-05,2018-04-07
1216,14,MOHD. NAJIB BIN TUN HAJI ABDUL RAZAK,1954,male,bumiputera,BN - UMNO,Pahang,PEKAN,P085,,,2018-05-09,2022-08-23
1228,12,RAFIDAH BINTI ABD. AZIZ,1944,female,bumiputera,BN - UMNO,Perak,Kuala Kangsar,P067,,,2008-03-08,2013-04-03
1238,12,TAN SENG GIAW,1943,male,chinese,DAP,WP Kuala Lumpur,Kepong,P114,,,2008-03-08,2013-04-03
1238,13,TAN SENG GIAW,1943,male,chinese,DAP,WP Kuala Lumpur,Kepong,P114,,,2013-05-05,2018-04-07
1426,12,ANWAR BIN IBRAHIM,1947,male,bumiputera,PKR,Pulau Pinang,Permatang pauh,P044,,,2008-08-26,2013-04-03
1426,13,ANWAR BIN IBRAHIM,1947,male,bumiputera,PKR,Pulau Pinang,Permatang Pauh,P044,,,2013-05-05,2015-03-16
1426,14,ANWAR BIN IBRAHIM,1947,male,bumiputera,PH - PKR,Negeri Sembilan,PORT DICKSON,P132,,,2018-10-13,2022-10-10
1426,15,ANWAR BIN IBRAHIM,1947,male,bumiputera,PH,Perak,Tambun,P063,Perdana Menteri dan Menteri Kewangan,Ketua Majlis,2022-11-19,
1444,12,ZAINAL ABIDIN BIN AHMAD,1939,male,bumiputera,PKR,Selangor,Hulu Selangor,P094,,,2008-03-08,2010-03-25
1613,12,ISMAIL BIN HAJI MOHAMED SAID,1966,male,bumiputera,BN - UMNO,Pahang,Kuala Krau,P087,,,2008-03-08,2013-04-03
1613,13,ISMAIL BIN HAJI MOHAMED SAID,1966,male,bumiputera,BN - UMNO,Pahang,Kuala Krau,P087,,,2013-05-05,2018-04-07
