author_id,vol,nama,gelaran,parti,lantikan,negeri,kawasan,kod_kawasan,tahun_lahir,jantina,kumpulan_etnik,jawatan_kabinet,jawatan_parlimen,penggal,tempoh,tempoh_mula,tempoh_tamat
1,2,A. Arunasalam,TIADA,Perikatan - MIC,Dilantik Yang di-Pertuan Agong,TIADA,,,,,indian,TIADA,Ahli Dewan Negara,,,1964-09-11,
1,3,A. Arunasalam,TIADA,Perikatan - MIC,Dilantik Yang di-Pertuan Agong,TIADA,,,,,indian,TIADA,Ahli Dewan Negara,,,1964-09-11,1970-09-10
1,3,A. Arunasalam,TIADA,Perikatan - MIC,Dilantik Yang di-Pertuan Agong,TIADA,,,,,indian,TIADA,Ahli Dewan Negara,,,1971-02-20,1977-02-19
1,4,A. Arunasalam,TIADA,BN - MIC,Dilantik Yang di-Pertuan Agong,TIADA,,,,,indian,TIADA,Ahli Dewan Negara,,,1964-09-11,1967-09-10
1,4,A. Arunasalam,TIADA,BN - MIC,Dilantik Yang di-Pertuan Agong,TIADA,,,,,indian,TIADA,Ahli Dewan Negara,,,1971-02-20,1974-02-19
2,1,A. M. Abu Bakar,TIADA,Perikatan - UMNO,Dilantik Yang di-Pertuan Agong,TIADA,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,1959-09-11,1962-09-10
3,6,A. Shaik Dawood Abu Bakar,TIADA,BN - UMNO,Dilantik Yang di-Pertuan Agong,TIADA,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,1985-02-15,1988-02-14
3,7,A. Shaik Dawood Abu Bakar,TIADA,BN - UMNO,Dilantik Yang di-Pertuan Agong,TIADA,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,1985-02-15,1988-02-14
4,6,Abang Ahmad Urai,TIADA,BN - PBB,Dipilih oleh Dewan Undangan Negeri,Sarawak,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,1984-04-09,1987-04-08
4,7,Abang Ahmad Urai,TIADA,BN - PBB,Dipilih oleh Dewan Undangan Negeri,Sarawak,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,1984-04-09,1987-04-08
4,7,Abang Ahmad Urai,TIADA,BN - PBB,Dipilih oleh Dewan Undangan Negeri,Sarawak,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,1987-07-10,1990-07-09
