vol,kod_kawasan,negeri,kawasan,gelaran,nama,tahun_lahir,jantina,kumpulan_etnik,parti,jawatan_kabinet,jawatan_parlimen,gambar,remarks,id
1,P007,Kedah,Kuala Kedah,Y.T.M. Tunku,Abdul Rahman Putra AlHaj,,male,bumiputera,Perikatan - UMNO,Perdana Menteri,,,,57
1,P062,Pahang,Pekan,Y.A.B. Tun,Abdul Razak Bin Dato' Hussain,,male,bumiputera,Perikatan - UMNO,Timbalan Perdana Menteri,,,,63
1,P102,Johor,Johor Timur,Dato' Dr.,Ismail Bin Dato' Abdul Rahman,,male,bumiputera,Perikatan - UMNO,,,,,351
1,P046,Perak,Sungei Siput,Dato',V.T. Sambanthan,,male,indian,Perikatan - MIC,,,,,909
1,P092,Johor,Muar Selatan,Dato',Suleiman Bin Dato' Abdul Rahman,,male,bumiputera,Perikatan - UMNO,,,,death,838
1,P097,Johor,Pontian Utara,Tuan,Sardon Bin Haji Jubir,,male,bumiputera,Perikatan - UMNO,,,,,789
1,P078,Selangor,Ulu Selangor,Dato',Ong Yoke Lin,,male,chinese,Perikatan - MCA,,,,,691
1,P085,Melaka,Melaka Tengah,Tuan,Tan Siew Sin,,male,chinese,Perikatan - MCA,,,,,871
1,P079,Negeri Sembilan,Kuala Pilah,Tuan,Bahaman Bin Samsudin,,male,bumiputera,Perikatan - UMNO,,,,,162
1,P061,Pahang,Kuantan,Tuan,Abdul Rahman Bin Haji Talib,,male,bumiputera,Perikatan - UMNO,,,,,52
1,P075,Selangor,Kuala Langat,Tuan,Abdul Aziz bin Ishak,,male,bumiputera,Perikatan - UMNO > PPK,,,,,12
1,P087,Melaka,Melaka Utara,Tuan,Abdul Ghani Bin Ishak,,male,bumiputera,Perikatan - UMNO,,,,,19
1,P057,Perak,Batang Padang,Tuan,Abdul Hamid Khan Bin Haji Sakhawat Ali Khan,,male,bumiputera,Perikatan - UMNO,,,,,31
1,P005,Kedah,Kota Star Utara,Tuan Haji,Abdul Khalid Bin Awang Osman,,male,bumiputera,Perikatan - UMNO,,,,,38
1,P040,Perak,Krian Laut,Tuan,Abdul Rauf Bin A. Rahman,,male,bumiputera,Perikatan - UMNO,,,,,61
1,P012,Kedah,Sungei Petani,Tuan,Abdul Samad Bin Osman,,male,bumiputera,Perikatan - UMNO,,,,,67
1,P047,Perak,Kuala Kangsar,Tuan Haji,Abdullah Bin Haji Abdul Raof,,male,bumiputera,Perikatan - UMNO,,,,,74
1,P103,Johor,Segamat Utara,Tuan Haji,Abdullah Bin Haji Mohd Salleh,,male,bumiputera,Perikatan - UMNO,,,,,77
1,P018,Kelantan,Kota Bharu Hilir,Tuan Haji,Ahmad Bin Abdullah,,male,bumiputera,PAS,,,,,99
1,P104,Johor,Muar Utara,Tuan,Ahmad Bin Arshad,,male,bumiputera,Perikatan - UMNO,,,,,100
1,P070,Selangor,Setapak,Tuan,Ahmad Boestamam,,male,bumiputera,BS - PRM,,,,,107
1,P101,Johor,Johor Bahru Barat,Tuan,Ahmad Bin Mohamed Shah,,male,bumiputera,Perikatan - UMNO,,,,,103
1,P038,Pulau Pinang,Seberang Utara,Tuan Haji,Ahmad Bin Saaid,,male,bumiputera,Perikatan - UMNO,,,,,106
1,P041,Perak,Krian Darat,Tuan,Ahmad Bin Haji Yusof,,male,bumiputera,Perikatan - UMNO,,,,,102
1,P004,Kedah,Kubang Pasu Barat,Tuan Haji,Azahari Bin Haji Ibrahim,,male,bumiputera,Perikatan - UMNO,,,,,152
1,P027,Terengganu,Kuala Terengganu Selatan,,Ismail Kassim,,male,bumiputera,Perikatan - UMNO,,,,,357
1,P089,Johor,Muar Dalam,Tuan,Aziz Bin Ishak,,male,bumiputera,Perikatan - UMNO,,,,,156
1,P025,Terengganu,Besut,Dr.,Burhanuddin Bin Mohd. Noor,,male,bumiputera,PAS,,,,,179
1,P099,Johor,Kluang Selatan,Tuan,Chan Chong Wen,,male,chinese,Perikatan - MCA,,,,,182
1,P060,Pahang,Bentong,Tuan,Chan Siang Sun,,male,chinese,Perikatan - MCA,,,,,188
1,P049,Perak,Ulu Kinta,Tuan,Chan Swee Ho,,male,chinese,PPP,,,,,189
1,P072,Selangor,Bukit Bintang,Tuan,Cheah Theam Swee,,male,chinese,Perikatan - MCA,,,,,197
1,P080,Negeri Sembilan,Seremban Timur,Tuan,Chin See Yin,,male,chinese,Perikatan - MCA > BEBAS,,,,,214
1,P071,Selangor,Bangsar,Tuan,V. David,,male,indian,BS - Buruh,,,,,904
1,P003,Kedah,Jitra,Datin,Fatimah Binti Haji Hashim,,female,bumiputera,Perikatan - UMNO,,,,,254
1,P034,Pulau Pinang,Penang Utara,Tuan,Geh Chong Keat,,male,chinese,Perikatan - MCA,,,,,269
1,P067,Selangor,Kapar,Tuan,Hamzah Bin Alang,,male,bumiputera,Perikatan - UMNO,,,,,285
1,P013,Kedah,Kulim Utara,Tuan,Hanafi Bin Mohd. Yunus,,male,bumiputera,Perikatan - UMNO,,,,,289
1,P011,Kedah,Baling,Tuan,Harun Bin Abdullah,,male,bumiputera,Perikatan - UMNO,,,,,294
1,P030,Terengganu,Terengganu Tengah,Tuan,Harun Bin Pilus,,male,bumiputera,PAS,,,,,295
1,P026,Terengganu,Kuala Terengganu Utara,Tuan Haji,Hasan Adli Bin Haji Arshad,,male,bumiputera,PAS,,,,,296
1,P015,Kelantan,Tumpat,Tuan Haji,Hassan Bin Haji Ahmad,,male,bumiputera,PAS,,,,,308
1,P088,Melaka,Melaka Selatan,Tuan,Hassan Bin Mansor,,male,bumiputera,Perikatan - UMNO,,,,,310
1,P059,Pahang,Raub,Tuan,Hussein Bin Toh Muda Hassan,,male,bumiputera,Perikatan - UMNO,,,,,337
1,P048,Perak,Parit,Tuan,Hussein Bin Mohd Noordin,,male,bumiputera,Perikatan - UMNO,,,,,335
1,P020,Kelantan,Kota Baru Hulu,Tuan Haji,Hussin Rahimi Bin Haji Saman,,male,bumiputera,PAS,,,,,331
1,P032,Pulau Pinang,Seberang Tengah,Tuan,Ibrahim Bin Abdul Rahman,,male,bumiputera,Perikatan - UMNO,,,,,333
1,P035,Pulau Pinang,Penang Selatan,Tuan,Ismail Bin Idris,,male,bumiputera,Perikatan - UMNO,,,,,354
1,P093,Johor,Batu Pahat,Tuan,Kang Kok Seng,,male,chinese,Perikatan - MCA,,,,,411
1,P073,Selangor,Damansara,Tuan,K. Karam Singh,,male,indian,BS - PRM,,,,,394
1,P028,Terengganu,Dungun,Puan,Khadijah Binti Mohd. Sidik,,female,bumiputera,PAS,,,,,416
1,P052,Perak,Batu Gajah,Tuan,Khong Kok Yat,,male,chinese,PPP,,,,,420
1,P053,Perak,Kampar,,Chan Yoon Onn,,male,chinese,PPP,,,,,190
1,P095,Johor,Kluang Utara,Tuan,Lee San Choon,,male,chinese,Perikatan - MCA,,,,,445
1,P058,Perak,Tanjong Malim,Tuan,Lee Seck Fun,,male,chinese,Perikatan - MCA,,,,,446
1,P055,Perak,Telok Anson,,Too Joon Hing,,male,chinese,BEBAS,,,,,900
1,P076,Selangor,Sepang,Tuan,Lee Siok Yew,,male,chinese,Perikatan - MCA,,,,,447
1,P053,Perak,Kampar,Tuan,Leong Kee Nyean,,male,chinese,Perikatan - MCA,,,,disqualified?,451
1,P006,Kedah,Alor Setar,Tuan,Lim Joo Kong,,male,chinese,Perikatan - MCA,,,,,464
1,P037,Pulau Pinang,Dato' Keramat,Tuan,Lim Kean Siew,,male,chinese,BS - Buruh,,,,,465
1,P043,Perak,Larut Selatan,Tuan,Lim Swee Aun,,male,chinese,Perikatan - MCA,,,,,476
1,P068,Selangor,Rawang,Tuan,Liu Yoong Peng,,male,chinese,BS - Buruh,,,,,482
1,P082,Negeri Sembilan,Port Dickson,Tuan,T. Mahima Singh,,male,indian,Perikatan - MIC,,,,,851
1,P074,Selangor,Klang,Tuan,V. Manickavasagam,,male,indian,Perikatan - MIC,,,,,906
