vol,kod_kawasan,negeri,kawasan,gelaran,nama,tahun_lahir,jantina,kumpulan_etnik,parti,jawatan_kabinet,jawatan_parlimen,gambar
1,,,Kuala Kedah,Y.T.M. Tunku,Abdul Rahman Putra AlHaj,,male,bumiputera,,Perdana Menteri,,
1,,,Pekan,Y.A.B. Tun,Abdul Razak Bin Dato' Hussain,,male,bumiputera,,Timbalan Perdana Menteri,,
1,,,Johor Timur,Dato' Dr.,Ismail Bin Dato' Abdul Rahman,,male,bumiputera,,,,
1,,,Sungei Siput,Dato',V.T. Sambanthan,,male,indian,,,,
1,,,Muar Selatan,Dato',Suleiman Bin Dato' Abdul Rahman,,male,bumiputera,,,,
1,,,Pontian Utara,Tuan,Sardon Bin Haji Jubir,,male,bumiputera,,,,
1,,,Ulu Selangor,Dato',Ong Yoke Lin,,male,chinese,,,,
1,,,Melaka Tengah,Tuan,Tan Siew Sin,,male,chinese,,,,
1,,,Kuala Pilah,Tuan,Bahaman Bin Samsudin,,male,bumiputera,,,,
1,,,Kuantan,Tuan,Abdul Rahman Bin Haji Talib,,male,bumiputera,,,,
1,,,Kuala Langat,Tuan,Abdul Aziz bin Ishak,,male,bumiputera,,,,
1,,,Melaka Utara,Tuan,Abdul Ghani Bin Ishak,,male,bumiputera,,,,
1,,,Batang Padang,Tuan,Abdul Hamid Khan Bin Haji Sakhawat Ali Khan,,male,bumiputera,,,,
1,,,Kota Star Utara,Tuan Haji,Abdul Khalid Bin Awang Osman,,male,bumiputera,,,,
1,,,Krian Laut,Tuan,Abdul Rauf Bin A. Rahman,,male,bumiputera,,,,
1,,,Sungei Petani,Tuan,Abdul Samad Bin Osman,,male,bumiputera,,,,
1,,,Kuala Kangsar,Tuan Haji,Abdullah Bin Haji Abdul Raof,,male,bumiputera,,,,
1,,,Segamat Utara,Tuan Haji,Abdullah Bin Haji Mohd Salleh,,male,bumiputera,,,,
1,,,Kota Bharu Hilir,Tuan Haji,Ahmad Bin Abdullah,,male,bumiputera,,,,
1,,,Muar Utara,Tuan,Ahmad Bin Arshad,,male,bumiputera,,,,
1,,,Setapak,Tuan,Ahmad Boestamam,,male,bumiputera,,,,
1,,,Johor Bahru Barat,Tuan,Ahmad Bin Mohamed Shah,,male,bumiputera,,,,
1,,,Seberang Utara,Tuan Haji,Ahmad Bin Saaid,,male,bumiputera,,,,
1,,,Krian Darat,Tuan,Ahmad Bin Haji Yusof,,male,bumiputera,,,,
1,,,Kubang Pasu Barat,Tuan Haji,Azahari Bin Haji Ibrahim,,male,bumiputera,,,,
1,,,Muar Dalam,Tuan,Aziz Bin Ishak,,male,bumiputera,,,,
1,,,Besut,Dr.,Burhanuddin Bin Mohd. Noor,,male,bumiputera,,,,
1,,,Kluang Selatan,Tuan,Chan Chong Wen,,male,chinese,,,,
1,,,Bentong,Tuan,Chan Siang Sun,,male,chinese,,,,
1,,,Ulu Kinta,Tuan,Chan Swee Ho,,male,chinese,,,,
1,,,Bukit Bintang,Tuan,Cheah Theam Swee,,male,chinese,,,,
1,,,Seremban Timur,Tuan,Chin See Yin,,male,chinese,,,,
1,,,Bangsar,Tuan,V. David,,male,indian,,,,
1,,,Jitra,Datin,Fatimah Binti Haji Hashim,,female,bumiputera,,,,
1,,,Penang Utara,Tuan,Geh Chong Keat,,male,chinese,,,,
1,,,Kapar,Tuan,Hamzah Bin Alang,,male,bumiputera,,,,
1,,,Kulim Utara,Tuan,Hanafi Bin Mohd. Yunus,,male,bumiputera,,,,
1,,,Baling,Tuan,Harun Bin Abdullah,,male,bumiputera,,,,
1,,,Terengganu Tengah,Tuan,Harun Bin Pilus,,male,bumiputera,,,,
1,,,Kuala Terengganu Utara,Tuan Haji,Hasan Adli Bin Haji Arshad,,male,bumiputera,,,,
1,,,Tumpat,Tuan Haji,Hassan Bin Haji Ahmad,,male,bumiputera,,,,
1,,,Melaka Selatan,Tuan,Hassan Bin Mansor,,male,bumiputera,,,,
1,,,Raub,Tuan,Hussein Bin Toh Muda Hassan,,male,bumiputera,,,,
1,,,Parit,Tuan,Hussein Bin Mohd Noordin,,male,bumiputera,,,,
1,,,Kota Baru Hulu,Tuan Haji,Hussin Rahimi Bin Haji Saman,,male,bumiputera,,,,
1,,,Seberang Tengah,Tuan,Ibrahim Bin Abdul Rahman,,male,bumiputera,,,,
1,,,Penang Selatan,Tuan,Ismail Bin Idris,,male,bumiputera,,,,
1,,,Batu Pahat,Tuan,Kang Kok Seng,,male,chinese,,,,
1,,,Damansara,Tuan,K. Karam Singh,,male,indian,,,,
1,,,Dungun,Puan,Khadijah Binti Mohd. Sidik,,female,bumiputera,,,,
1,,,Batu Gajah,Tuan,Khong Kok Yat,,male,chinese,,,,
1,,,Kluang Utara,Tuan,Lee San Choon,,male,chinese,,,,
1,,,Tanjong Malim,Tuan,Lee Seck Fun,,male,chinese,,,,
1,,,Sepang,Tuan,Lee Siok Yew,,male,chinese,,,,
1,,,Kampar,Tuan,Leong Kee Nyean,,male,chinese,,,,
1,,,Alor Setar,Tuan,Lim Joo Kong,,male,chinese,,,,
1,,,Dato' Keramat,Tuan,Lim Kean Siew,,male,chinese,,,,
1,,,Larut Selatan,Tuan,Lim Swee Aun,,male,chinese,,,,
1,,,Rawang,Tuan,Liu Yoong Peng,,male,chinese,,,,
1,,,Port Dickson,Tuan,T. Mahima Singh,,male,indian,,,,
1,,,Klang,Tuan,V. Manickavasagam,,male,indian,,,,
1,,,Jelebu,Tuan,Mohamed Bin Ujang,,male,bumiputera,,,,
1,,,Hilir Perak,Tuan,Mohamed Abbas Bin Ahmad,,male,bumiputera,,,,
1,,,Pasir Puteh,Tuan,Mohamed Asri Bin Haji Muda,,male,bumiputera,,,,
1,,,Kuala Selangor,Tuan,Mohamed Dahari Bin Haji Mohd. Ali,,male,bumiputera,,,,
1,,,Ulu Perak,Tuan,Mohamed Nor Bin Mohd. Dahan,,male,bumiputera,,,,
1,,,Pasir Mas Hulu,Dato',Mohamed Hanifah Bin Haji Abdul Ghani,,male,bumiputera,,,,
1,,,Jerai,Tuan,Mohamed Ismail Bin Mohd. Yusof,,male,bumiputera,,,,
1,,,Lipis,Tuan,Mohamed Sulong Bin Mohd. Ali,,male,bumiputera,,,,
1,,,Temerloh,Tuan,Mohamed Yusof Bin Mahmud,,male,bumiputera,,,,
1,,,Perlis Selatan,Tuan Haji,Mokhtar Bin Haji Ismail,,male,bumiputera,,,,
1,,,Pasir Mas Hilir,Tuan,Nik Man Bin Nik Mohamed,,male,bumiputera,,,,
1,,,Batu,Tuan,Ng Ann Teck,,male,chinese,,,,
1,,,Kuala Terengganu Selatan,Dato',Onn Bin Jaafar,,male,bumiputera,,,,
1,,,Tanah Merah,Tuan,Othman Bin Abdullah,,male,bumiputera,,,,
1,,,Perlis Utara,Tuan,Othman Bin Abdullah,,male,bumiputera,,,,
1,,,Seremban Barat,Tuan,Quek Kai Dong,,male,chinese,,,,
1,,,Rembau,Tuan Haji,Redza Bin Haji Mohd. Said,,male,bumiputera,,,,
1,,,Muar Pantai,Tuan,Seah Teng Ngiab,,male,chinese,,,,
1,,,Ipoh,Tuan,D.R Seenivasagam,,male,indian,,,,
1,,,Menglembu,Tuan,S.P Seenivasagam,,male,indian,,,,
1,,,Batu Pahat Dalam,Tuan,Syed Esa Bin Alwee,,male,bumiputera,,,,
1,,,Sabak Bernam,Tuan,Syed Hashim Bin Syed Ajam,,male,bumiputera,,,,
1,,,Johor Tenggara,Tuan,Syed Ja'afar Bin Hasan Albar,,male,bumiputera,,,,
1,,,Larut Utara,Tuan,Tajudin Bin Ali,,male,bumiputera,,,,
