vol,kod_kawasan,negeri,kawasan,uid,gelaran,nama,tahun_lahir,jantina,kumpulan_etnik,parti,jawatan_kabinet,jawatan_parlimen,gambar
14,P004,Kedah,LANGKAWI,375,YB TUN DR.,MAHATHIR BIN MOHAMAD,1926,male,bumiputera,PEJUANG,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.004-Langkawi.png
12,P064,Perak,Ipoh Timur,698,Y.B. Tuan,Lim Kit Siang,1941,male,chinese,DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P064-IPOHTIMUR.jpg
13,P162,Johor,Gelang Patah,698,YB Tuan,Lim Kit Siang,1941,male,chinese,DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P162.jpg
14,P162,Johor,ISKANDAR PUTERI,698,YB TUAN,LIM KIT SIANG,1941,male,chinese,PH - DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.162-ISKANDAR PUTERI.png
12,P051,Pulau Pinang,Bukit Gelugor,848,Y.B. Tuan,Karpal Singh a/l Ram Singh,1941,male,other,DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P051-BUKITGELUGOR1.jpg
12,P032,Kelantan,Gua Musang,872,YBM Tan Sri,Tengku Razaleigh bin Tengku Hamzah,1937,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/TENGKURAZALIGH.JPG
13,P032,Kelantan,Gua Musang,872,YB,Tengku Razaleigh Hamzah,1937,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P032.jpg
14,P032,Kelantan,GUA MUSANG,872,YB TENGKU,RAZALEIGH HAMZAH,1937,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.032-GUA MUSANG.png
12,P140,Johor,Segamat,985,Y.B. Datuk Seri Dr.,S. Subramaniam,1954,male,indian,BN - MIC,Menteri Sumber Manusia,,https://www.parlimen.gov.my/images/webuser/ahli/2010/subramaniam[1].jpg
13,P140,Johor,Segamat,985,YB Datuk Seri Dr.,S. Subramaniam,1953,male,indian,BN - MIC,Menteri Kesihatan,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P140.jpg
12,P126,Negeri Sembilan,Jelebu,991,Y.B. Dato' Seri Utama Dr.,Rais Bin Yatim,1943,male,bumiputera,BN - UMNO,"Menteri Penerangan, Komunikasi dan Kebudayaan",,https://www.parlimen.gov.my/images/webuser/ahli/2010/P126-JELEBU1.jpg
12,P085,Pahang,Pekan,1216,YAB Dato' Sri Hj.,Mohd Najib bin Tun Hj. Abdul Razak,1954,male,bumiputera,BN - UMNO,"Perdana Menteri, Menteri Kewangan, dan Menteri Pembangunan Wanita, Keluarga dan Masyarakat",,https://www.parlimen.gov.my/images/webuser/ahli/2010/PM.jpg
13,P085,Pahang,Pekan,1216,YAB Dato' Sri,Mohd. Najib bin Tun Haji Abdul Razak,1954,male,bumiputera,BN - UMNO,Perdana Menteri Malaysia/Menteri Kewangan,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P085.jpg
14,P085,Pahang,PEKAN,1216,YB DATO' SRI,MOHD NAJIB BIN TUN ABD RAZAK,1954,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.085-PEKAN.png
12,P067,Perak,Kuala Kangsar,1228,YB Tan Sri,Rafidah binti Abd. Aziz,1944,female,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/rafidah.aziz[1].jpg
12,P114,WP Kuala Lumpur,Kepong,1238,Y.B. Dr.,Tan Seng Giaw,1943,male,chinese,DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P114-KEPONG.jpg
13,P114,WP Kuala Lumpur,Kepong,1238,YB Dr.,Tan Seng Giaw,1943,male,chinese,DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P114.jpg
14,P132,Negeri Sembilan,PORT DICKSON,1426,YB DATO' SERI,ANWAR BIN IBRAHIM,1947,male,bumiputera,PH - PKR,,,https://www.parlimen.gov.my/images/webuser/ahli/2018/YB Port Dickson.png
15,P063,Perak,Tambun,1426,YAB Dato' Seri,Anwar bin Ibrahim,1947,male,bumiputera,PH,Perdana Menteri dan Menteri Kewangan,Ketua Majlis,https://www.parlimen.gov.my/images/webuser/ahli/2022/P063.png
12,P087,Pahang,Kuala Krau,1613,YB Dato' Haji,Ismail bin Haji Mohamed Said,1966,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P087-KKRAU.jpg
13,P087,Pahang,Kuala Krau,1613,YB Dato' Sri Haji,Ismail bin Mohamed Said,1966,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P087.jpg
14,P087,Pahang,KUALA KRAU,1613,YB DATO' SRI DR. HAJI,ISMAIL BIN HAJI MOHAMED SAID,1966,male,bumiputera,BN - UMNO,Timbalan Menteri Dalam Negeri I,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.087-KUALA KRAU.png
12,P213,Sarawak,Mukah,1644,Y.B. Dato' Sri Dr.,Muhammad Leo Micheal Toyad Abdullah,1951,male,bumiputera,BN - PBB,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P213-MUKAH.jpg
13,P213,Sarawak,Mukah,1644,YB Tan Sri Dr.,Muhammad Leo Michael Toyad Abdullah,1950,male,bumiputera,BN - PBB,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P213.jpg
12,P002,Perlis,Kangar,1663,YB Dato' Seri,Mohd Radzi bin Sheikh Ahmad,1942,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/mohd.radzi[1].jpg
13,P003,Perlis,Arau,1665,YB Dato' Seri Dr.,Shahidan Bin Kassim,1952,male,bumiputera,BN - UMNO,Menteri Di Jabatan Perdana Menteri,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P003.jpg
14,P003,Perlis,ARAU,1665,YB DATO' SERI DR.,SHAHIDAN BIN KASSIM,1952,male,bumiputera,BN - UMNO,Menteri Wilayah Persekutuan,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.003-Arau.png
15,P003,Perlis,Arau,1665,YB Dato' Seri Dr.,Shahidan bin Kassim,1951,male,bumiputera,PN,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P003.jpg
13,P011,Kedah,Pendang,1676,YB Dato' Wira,Othman Bin Abdul,1951,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P011.jpg
12,P022,Kelantan,Pasir Mas,1692,Y.B. Dato',Ibrahim Ali,1951,male,bumiputera,BEBAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P022-PASIRMAS.jpg
12,P037,Terengganu,Marang,1712,YB Dato' Seri Haji,Abd. Hadi bin Awang,1947,male,bumiputera,PAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P037-MARANG.jpg
