vol,kod_kawasan,negeri,kawasan,uid,new_id,gelaran,nama,tahun_lahir,jantina,kumpulan_etnik,parti,jawatan_kabinet,jawatan_parlimen,gambar,remark
12,P001,Perlis,Padang Besar,2289,40,YB Dato' Seri Haji,Azmi bin Khalid,1941,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P001-PDGBESAR1.jpg,
12,P002,Perlis,Kangar,1663,12,YB Dato' Seri,Mohd Radzi bin Sheikh Ahmad,1942,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/mohd.radzi[1].jpg,
12,P003,Perlis,Arau,3285,97,YB Dato',Ismail Bin Kasim,1960,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P003-ARAU.jpg,
12,P004,Kedah,Langkawi,3286,98,YB Dato' Paduka,Abu Bakar bin Taib,1943,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P004-LANGKAWI.jpg,
12,P005,Kedah,Jerlun,3288,99,YB Dato',Mukhriz bin Tun Mahathir,1964,male,bumiputera,BN - UMNO,Timbalan Menteri Perdagangan Antarabangsa Dan Industri,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P005-JERLUN.jpg,
12,P006,Kedah,Kubang Pasu,3290,100,YB Dato' Wira,Mohd Johari bin Baharum,1954,male,bumiputera,BN - UMNO,Timbalan Menteri Pertanian Dan Industri Asas Tani,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P006-KUBANGPASU1.jpg,
12,P007,Kedah,Padang Terap,3292,101,YB Tuan,Mohd Nasir bin Zakaria,1976,male,bumiputera,PAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P007-PDGTERAP.jpg,
12,P008,Kedah,Pokok Sena,2928,74,YB Dato' Haji,Mahfuz bin Haji Omar,1958,male,bumiputera,PAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P008-POKOKSENA.jpg,
12,P009,Kedah,Alor Setar,1981,25,YB Datuk Seri,Chor Chee Heung,1955,male,chinese,BN - MCA,Menteri Perumahan Dan Kerajaan Tempatan,,https://www.parlimen.gov.my/images/webuser/ahli/2010/ALORSETAR.JPG,
12,P010,Kedah,Kuala Kedah,3295,103,YB Tuan Haji,Ahmad bin Kasim,1964,male,bumiputera,PKR,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P010-KUALAKEDAH.jpg,
12,P011,Kedah,Pendang,2934,76,Y.B. Dato' Dr. Haji,Mohd Hayati bin Othman,1958,male,bumiputera,PAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P011-PENDANG.jpg,
12,P012,Kedah,Jerai,3298,104,YB Tuan,Mohd Firdaus bin Jaafar,1974,male,bumiputera,PAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P012-JERAI.jpg,
12,P013,Kedah,Sik,3300,105,YB Tuan,Che Uda bin Che Nik,1949,male,bumiputera,PAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P013-SIK.jpg,
12,P014,Kedah,Merbok,3302,106,Y.B. Dato',Rashid bin Din,1947,male,bumiputera,PKR,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P014-MERBOK.jpg,
12,P015,Kedah,Sungai Petani,3304,107,YB Dato',Johari bin Abdul,1955,male,bumiputera,PKR,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P015-SGPETANI.jpg,
12,P016,Kedah,Baling,3306,109,YB Dato' Haji,Taib Azamudden bin Md Taib,1951,male,bumiputera,PAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P016-BALING.jpg,
12,P017,Kedah,Padang Serai,3308,110,YB Tuan,Gobalakrishnan a/l Nagapan,1960,male,indian,PKR > BEBAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P017-PDGSERAI.jpg,
12,P018,Kedah,Kulim-Bandar Baharu,3309,111,YB Dato',Zulkifli bin Noordin,1962,male,bumiputera,PKR > BEBAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P018-KULIM.jpg,
12,P019,Kelantan,Tumpat,3311,113,Y.B. Dato' Haji,Kamarudin bin Jaffar,1952,male,bumiputera,PAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P019-TUMPAT.jpg,
12,P020,Kelantan,Pengkalan Chepa,3313,114,Y.B. Dato' Haji,Ab. Halim bin Ab. Rahman,1940,male,bumiputera,PAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P020-PKLNCHEPA.jpg,
12,P021,Kelantan,Kota Bharu,3315,115,YB Dato' Haji,Wan Abd. Rahim bin Wan Abdullah,1952,male,bumiputera,PAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P021-KOTABHARU.jpg,
12,P022,Kelantan,Pasir Mas,1692,15,Y.B. Dato',Ibrahim Ali,1951,male,bumiputera,BEBAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P022-PASIRMAS.jpg,
12,P023,Kelantan,Rantau Panjang,3318,116,Y.B. Puan Hajah,Siti Zailah binti Mohd Yusoff,1963,female,bumiputera,PAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P023-RNTPJG.jpg,
12,P024,Kelantan,Kubang Kerian,2958,77,Y.B. Tuan,Salahuddin bin Haji Ayub,1962,male,bumiputera,PAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P024-KBGKERIAN.jpg,
12,P025,Kelantan,Bachok,3322,117,YB Tuan Haji,Nasharudin bin Mat Isa,1963,male,bumiputera,PAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P025-BACHOK.jpg,
12,P026,Kelantan,Ketereh,3325,119,YB Tuan Haji,Ab Aziz bin Ab Kadir,1963,male,bumiputera,PKR,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P026-KETEREH.jpg,
12,P027,Kelantan,Tanah Merah,3327,120,YB Tuan,Amran bin Ab Ghani,1974,male,bumiputera,PKR,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P027-TNHMERAH.jpg,
12,P028,Kelantan,Pasir Puteh,3330,121,Y.B. Tuan,Muhammad bin Husain,1952,male,bumiputera,PAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P028-PSRPUTEH.jpg,
12,P029,Kelantan,Machang,2615,54,YB Dato',Saifuddin Nasution bin Ismail,1964,male,bumiputera,PKR,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P029-MACHANG.jpg,
12,P030,Kelantan,Jeli,2333,41,YB Dato' Sri,Mustapa bin Mohamed,1951,male,bumiputera,BN - UMNO,Menteri Perdagangan Antarabangsa Dan Industri,,https://www.parlimen.gov.my/images/webuser/ahli/2010/JELI.JPG,
12,P031,Kelantan,Kuala Krai,3333,122,YB Dr.,Mohd Hatta bin Md Ramli,1957,male,bumiputera,PAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P031-K.KRAI.jpg,
12,P032,Kelantan,Gua Musang,872,3,YBM Tan Sri,Tengku Razaleigh bin Tengku Hamzah,1937,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/TENGKURAZALIGH.JPG,
12,P033,Terengganu,Besut,3336,123,YB Dato' Seri Dr.,Abdullah bin Md Zin,1947,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P033-BESUT.jpg,
12,P034,Terengganu,Setiu,3338,124,YB Dato',Mohd Jidin bin Shafee,1955,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P034-SETIU.jpg,
12,P035,Terengganu,Kuala Nerus,3340,125,YB Dato',Mohd Nasir bin Ibrahim Fikri,1957,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P035-KNERUS.jpg,
12,P036,Terengganu,Kuala Terengganu,3342,126,YB Tuan Haji,Mohd Abdul Wahid bin Haji Endut,1950,male,bumiputera,PAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P036-KTGANU2.jpg,
12,P037,Terengganu,Marang,1712,16,YB Dato' Seri Haji,Abd. Hadi bin Awang,1947,male,bumiputera,PAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P037-MARANG.jpg,
12,P038,Terengganu,Hulu Terengganu,3345,127,YB Tuan Haji,Mohd Nor bin Othman,1953,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P038-HLTGANU.jpg,
12,P039,Terengganu,Dungun,3346,128,YB Datuk,Matulidi bin Jusoh,1958,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P039-DUNGUN.jpg,
12,P040,Terengganu,Kemaman,2986,78,YB Dato' Sri,Ahmad Shabery bin Cheek,1959,male,bumiputera,BN - UMNO,Menteri Belia Dan Sukan,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P040-KEMAMAN2.jpg,
12,P041,Pulau Pinang,Kepala Batas,2655,55,YB Tun Haji,Abdullah bin Haji Ahmad Badawi,1940,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P041-KEPALABATAS.jpg,
12,P042,Pulau Pinang,Tasek Gelugor,3350,129,YB Tan Sri,Nor Mohamed Yakcop,1948,male,bumiputera,BN - UMNO,Menteri di Jabatan Perdana Menteri,,https://www.parlimen.gov.my/images/webuser/ahli/2010/nor mohamed yakcop.jpg,
12,P043,Pulau Pinang,Bagan,1839,19,Y.B. Tuan,Lim Guan Eng,1961,male,chinese,DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P043-BAGAN.jpg,
12,P044,Pulau Pinang,Permatang pauh,4901,507,Y.B. Dato' Seri,Anwar bin Ibrahim,1952,male,bumiputera,PKR,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P044-PMTGPAUHanwar2.jpg,
12,P045,Pulau Pinang,Bukit Mertajam,2661,56,Y.B. Puan,Chong Eng,1958,female,chinese,DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P045-BUKITMERTAJAM.jpg,
12,P046,Pulau Pinang,Batu Kawan,3354,130,YB Prof. Dr.,Ramasamy a/l Palanisamy,1950,male,indian,DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P046-BTKAWAN.jpg,
12,P047,Pulau Pinang,Nibong Tebal,3355,131,YB Tuan,Tan Tee Beng,1972,male,chinese,PKR > BEBAS > KITA,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P047-NIBGTEBAL.jpg,
12,P048,Pulau Pinang,Bukit Bendera,3357,132,YB Tuan,Liew Chin Tong,1977,male,chinese,DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P048-BKTBENDERA.jpg,
12,P049,Pulau Pinang,Tanjong,2665,57,Y.B. Tuan,Chow Kon Yeow,1958,male,chinese,DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P049-TANJONG.jpg,
12,P050,Pulau Pinang,Jelutong,3361,133,YB Tuan,Ooi Chuan Aun,1956,male,chinese,DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P050-JELUTONG.jpg,
12,P051,Pulau Pinang,Bukit Gelugor,848,2,Y.B. Tuan,Karpal Singh a/l Ram Singh,1941,male,other,DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P051-BUKITGELUGOR1.jpg,
12,P052,Pulau Pinang,Bayan Baru,3364,134,Y.B. Dato' Seri,Zahrain Mohamed Hashim,1956,male,bumiputera,PKR > BEBAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P052-BYNBARU.jpg,
12,P053,Pulau Pinang,Balik Pulau,3366,135,YB Tuan,Mohd Yusmadi bin Mohd Yusoff,1975,male,bumiputera,PKR,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P053-BALIKPULAU.jpg,
12,P054,Perak,Gerik,3012,80,YB Dato',Tan Lian Hoe,1959,female,chinese,BN - GERAKAN,"Timbalan Menteri Perdagangan Dalam Negeri, Koperasi Dan Kepenggunaan",,https://www.parlimen.gov.my/images/webuser/ahli/2010/P054-GERIK.jpg,
12,P055,Perak,Lenggong,3369,136,YB Dato',Shamsul Anuar bin Nasarah,1967,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P055-LENGGONG.jpg,
12,P056,Perak,Larut,3371,137,YB Datuk,Hamzah Zainudin,1957,male,bumiputera,BN - UMNO,"Timbalan Menteri Perusahaan, Perladangan Dan Komoditi",,https://www.parlimen.gov.my/images/webuser/ahli/2010/P056-LARUT.jpg,
12,P057,Perak,Parit Buntar,2990,79,YB Dr.,Mujahid Yusof Rawa,1965,male,bumiputera,PAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P057-PARITBUNTAR.jpg,
12,P058,Perak,Bagan Serai,3372,138,YB Tuan,Mohsin Fadzli bin Haji Samsuri,1946,male,bumiputera,PKR > BEBAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P058-BGSERAI.jpg,
12,P059,Perak,Bukit Gantang,9999990,567,Y.B. Dato' Seri Ir.,Mohammad Nizar bin Jamaluddin,1960,male,bumiputera,PAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P059-BKTGANTG-nizar.jpg,
12,P060,Perak,Taiping,3376,139,YB Tuan,Nga Kor Ming,1972,male,chinese,DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P060-TAIPING.jpg,
12,P061,Perak,Padang Rengas,2368,42,YB Dato' Seri,Mohamed Nazri bin Tan Sri Abdul Aziz,1954,male,bumiputera,BN - UMNO,Menteri di Jabatan Perdana Menteri,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P061-PDGRENGAS1.jpg,
12,P062,Perak,Sungai Siput,3019,81,YB Dr.,Micheal Jeyakumar Devaraj,1955,male,indian,PKR > PSM,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P062-SGSIPUT.jpg,
12,P063,Perak,Tambun,3380,140,YB Dato' Seri Haji,Ahmad Husni bin Mohamad Hanadzlah,1953,male,bumiputera,BN - UMNO,Menteri Kewangan II,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P063-TAMBUN1.jpg,
12,P064,Perak,Ipoh Timur,698,1,Y.B. Tuan,Lim Kit Siang,1941,male,chinese,DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P064-IPOHTIMUR.jpg,
12,P065,Perak,Ipoh Barat,3383,141,Y.B. Tuan,M. Kulasegaran,1957,male,indian,DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P065-IPOHBARAT.jpg,
12,P066,Perak,Batu Gajah,2692,58,Y.B. Puan,Fong Po Kuan,1974,female,chinese,DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P066-BTGAJAH.jpg,
12,P067,Perak,Kuala Kangsar,1228,7,YB Tan Sri,Rafidah binti Abd. Aziz,1944,female,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/rafidah.aziz[1].jpg,
12,P068,Perak,Beruas,2081,26,YB Dato',Ngeh Koo Ham,1962,male,chinese,DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P068-BERUAS.jpg,
12,P069,Perak,Parit,3388,142,YB Tuan,Mohd Nizar bin Zakaria,1969,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P069-PARIT.jpg,
12,P070,Perak,Kampar,3390,143,YB Dato',Lee Chee Leong,1957,male,chinese,BN - MCA,Timbalan Menteri Dalam Negeri,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P070-KAMPAR.jpg,
12,P071,Perak,Gopeng,3391,144,YB Dr.,Lee Boon Chye,1960,male,chinese,PKR,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P071-GOPENG.jpg,
12,P072,Perak,Tapah,3393,145,YB Datuk,M. Saravanan,1968,male,indian,BN - MIC,Timbalan Menteri Wilayah Persekutuan Dan Kesejahteraan Bandar,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P072-TAPAH.jpg,
12,P073,Perak,Pasir Salak,3395,146,Y.B. Dato' Haji,Tajuddin bin Abdul Rahman,1948,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/pasirsalak.jpg,
12,P074,Perak,Lumut,2706,59,YB Dato' Seri,Kong Cho Ha,1951,male,chinese,BN - MCA,Menteri Pengangkutan,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P074-LUMUT.jpg,
12,P075,Perak,Bagan Datok,2393,43,YB Dato' Seri Dr.,Ahmad Zahid bin Hamidi,1953,male,bumiputera,BN - UMNO,Menteri Pertahanan,,https://www.parlimen.gov.my/images/webuser/ahli/2010/ahmad.zahid.hamidi[1].jpg,
12,P076,Perak,Teluk Intan,3398,147,YB Tuan,Manogaran a/l Marimuthu,1960,male,indian,DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P076-TELOKINTAN.jpg,
12,P077,Perak,Tanjong Malim,3399,148,YB Dato' Seri,Ong Ka Chuan,1955,male,chinese,BN - MCA,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P077-TANJONGMALIM.jpg,
12,P078,Pahang,Cameron Highlands,3402,149,YB Dato',Devamany a/l S.Krishnasamy,1958,male,indian,BN - MIC,Timbalan Menteri di Jabatan Perdana Menteri,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P078-CAMERONHLANDS1.jpg,
12,P079,Pahang,Lipis,3403,150,YB Dato' Dr.,Mohamad Shahrum bin Osman,1954,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P079-LIPIS.jpg,
12,P080,Pahang,Raub,3406,151,YB Dato' Sri Dr.,Ng Yen Yen,1947,female,chinese,BN - MCA,Menteri Pelancongan,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P080-RAUB1.jpg,
12,P081,Pahang,Jerantut,2411,45,YBM Dato' Seri,Tengku Azlan Ibni Almarhum Sultan Abu Bakar,1950,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P081-JERANTUT1.jpg,
12,P082,Pahang,Indera Mahkota,3409,152,YB Tuan,Azan bin Ismail,1961,male,bumiputera,PKR,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P082-INDRAMAHKOTA.jpg,
12,P083,Pahang,Kuantan,2716,61,YB Puan Hajah,Fuziah binti Salleh,1959,female,bumiputera,PKR,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P083-KUANTAN.jpg,
12,P084,Pahang,Paya Besar,3411,153,YB Dato' Haji,Abdul Manan bin Ismail,1949,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P084-PAYABESAR.jpg,
12,P085,Pahang,Pekan,1216,6,YAB Dato' Sri Hj.,Mohd Najib bin Tun Hj. Abdul Razak,1954,male,bumiputera,BN - UMNO,"Perdana Menteri, Menteri Kewangan, dan Menteri Pembangunan Wanita, Keluarga dan Masyarakat",,https://www.parlimen.gov.my/images/webuser/ahli/2010/PM.jpg,
12,P086,Pahang,Maran,3413,154,YB Dato' Haji,Ismail bin Haji Abd Muttalib,1955,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P086-MARAN.jpg,
12,P087,Pahang,Kuala Krau,1613,10,YB Dato' Haji,Ismail bin Haji Mohamed Said,1966,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P087-KKRAU.jpg,
12,P088,Pahang,Temerloh,3416,156,YB Dato',Saifuddin bin Abdullah,1961,male,bumiputera,BN - UMNO,Timbalan Menteri Pengajian Tinggi,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P088-TEMERLOH.jpg,
12,P089,Pahang,Bentong,2721,62,YB Dato' Sri,Liow Tiong Lai,1962,male,chinese,BN - MCA,Menteri Kesihatan,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P089-BENTONG1.jpg,
12,P090,Pahang,Bera,3061,82,YB Dato' Sri,Ismail Sabri bin Yaakob,1960,male,bumiputera,BN - UMNO,"Menteri Perdagangan Dalam Negeri, Koperasi Dan Kepenggunaan",,https://www.parlimen.gov.my/images/webuser/ahli/2010/P090-BERA.jpg,
12,P091,Pahang,Rompin,3420,157,YB Dato' Seri Dr. Haji,Jamaludin bin Dato' Mohd Jarjis,1952,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/jamaludin.mohd jarjis[1].jpg,
12,P092,Selangor,Sabak Bernam,3421,158,Y.B. Datuk,Abd. Rahman bin Bakri,1966,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P092-SABAKBERNAM.jpg,
12,P093,Selangor,Sungai Besar,3422,159,Y.B. Dato',Noriah binti Kasnon,1964,female,bumiputera,BN - UMNO,"Timbalan Menteri Pembangunan Wanita, Keluarga dan Masyarakat",,https://www.parlimen.gov.my/images/webuser/ahli/2010/P093-SGBESAR.jpg,
12,P094,Selangor,Hulu Selangor,3772,293,Y.B. Tuan,Kamalanathan A/L Panchanathan,1966,male,indian,BN - MIC,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/pkamalathan-w.jpg,
12,P095,Selangor,Tanjong Karang,2416,46,Y.B. Datuk Seri Haji,Noh bin Haji Omar,1958,male,bumiputera,BN - UMNO,Menteri Pertanian Dan Industri Asas Tani,,https://www.parlimen.gov.my/images/webuser/ahli/2010/noh.omar[1].jpg,
12,P096,Selangor,Kuala Selangor,3424,160,Y.B. Dr. Haji,Dzulkefly Ahmad,1956,male,bumiputera,PAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P096-KSELANGOR.jpg,
12,P097,Selangor,Selayang,3427,161,Y.B. Tuan,William Leong Jee Keen,1957,male,chinese,PKR,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P097-SELAYANG-b.jpg,
12,P098,Selangor,Gombak,3428,162,Y.B. Tuan,Mohamed Azmin bin Ali,1965,male,bumiputera,PKR,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P098-GOMBAK.jpg,
12,P099,Selangor,Ampang,3431,163,Y.B. Puan Hajah,Zuraida binti Kamaruddin,1958,female,bumiputera,PKR,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P099-AMPANG.jpg,
12,P100,Selangor,Pandan,2119,28,Y.B. Dato' Sri,Ong Tee Keat,1956,male,chinese,BN - MCA,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P100-PANDAN1.jpg,
12,P101,Selangor,Hulu Langat,3433,164,Y.B. Dr.,Che Rosli bin Che Mat,1952,male,bumiputera,PAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P101-HLLANGAT.jpg,
12,P102,Selangor,Serdang,3434,165,Y.B. Puan,Teo Nie Ching,1981,female,chinese,DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P102-SERDANG.jpg,
12,P103,Selangor,Puchong,3436,166,Y.B. Tuan,Gobind Singh Deo,1973,male,other,DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P103-PUCHONG.jpg,
12,P104,Selangor,Kelana Jaya,3438,167,Y.B. Tuan,Gwo-Burne Loh,1974,male,bumiputera,PKR,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P104-KLNJAYA.jpg,
12,P105,Selangor,Petaling Jaya Selatan,3440,168,Y.B. Tuan,Hee Loy Sian,1971,male,chinese,PKR,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P105-PJSELATAN.jpg,
12,P106,Selangor,Petaling Jaya Utara,3441,169,Y.B. Tuan,Tony Pua Kiam Wee,1973,male,bumiputera,DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P106-PJUTARA.jpg,
12,P107,Selangor,Subang,3443,170,Y.B. Tuan,Sivarasa a/l K. Rasiah,1957,male,indian,PKR,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P107-SUBANG.jpg,
12,P108,Selangor,Shah Alam,3095,83,Y.B. Tuan,Khalid bin Abd Samad,1957,male,bumiputera,PAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P108-SHAHALAM.jpg,
12,P109,Selangor,Kapar,3446,171,Y.B. Tuan,Manikavasagam a/l Sundaram,1966,male,indian,PKR,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P109-KAPAR.jpg,
12,P110,Selangor,Klang,3447,172,Y.B. Tuan,Charles Anthony a/l R. Santiago,1961,male,indian,DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P110-KLANG.jpg,
12,P111,Selangor,Kota Raja,3449,173,Y.B. Dr.,Siti Mariah binti Mahmud,1958,female,bumiputera,PAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P111-KOTARAJA.jpg,
12,P112,Selangor,Kuala Langat,3451,174,Y.B. Tuan,Abdullah Sani bin Abdul Hamid,1962,male,bumiputera,PKR,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P112-KLANGAT.jpg,
12,P113,Selangor,Sepang,3452,175,Y.B. Dato' Ir.,Mohd Zin bin Mohamed,1954,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/SEPANG.JPG,
12,P114,WP Kuala Lumpur,Kepong,1238,8,Y.B. Dr.,Tan Seng Giaw,1943,male,chinese,DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P114-KEPONG.jpg,
