vol,kod_kawasan,negeri,kawasan,gelaran,nama,tahun_lahir,jantina,kumpulan_etnik,parti,jawatan_kabinet,jawatan_parlimen,gambar
1.0,,,Kuala Kedah,Y.T.M. Tunku,Abdul Rahman Putra AlHaj,,,bumiputera,,Perdana Menteri,,
1.0,,,Pekan,Y.A.B. Tun,Abdul Razak Bin Dato' Hussain,,male,bumiputera,,Timbalan Perdana Menteri,,
1.0,,,Johor Timur,Dato' Dr.,Ismail Bin Dato' Abdul Rahman,,male,bumiputera,,,,
1.0,,,Sungei Siput,Dato',V.T.Sambanthan,,,,,,,
1.0,,,Muar Selatan,Dato',Suleiman Bin Dato' Abdul Rahman,,male,bumiputera,,,,
1.0,,,Pontian Utara,Tuan,Sardon Bin Haji Jubir,,male,bumiputera,,,,
1.0,,,Ulu Selangor,Dato',Ong Yoke Lin,,,,,,,
1.0,,,Melaka Tengah,Tuan,Tan Siew Sin,,male,,,,,
1.0,,,Kuala Pilah,Tuan,Bahaman Bin Samsudin,,male,bumiputera,,,,
1.0,,,Kuantan,Tuan,Abdul Rahman Bin Haji Talib,,male,bumiputera,,,,
1.0,,,Kuala Langat,Tuan,Abdul Aziz bin Ishak,,male,bumiputera,,,,
1.0,,,Melaka Utara,Tuan,Abdul Ghani Bin Ishak,,male,bumiputera,,,,
1.0,,,Batang Padang,Tuan,Abdul Hamid Khan Bin Haji Sakhawat Ali Khan,,male,bumiputera,,,,
1.0,,,Kota Star Utara,Tuan Haji,Abdul Khalid Bin Awang Osman,,male,bumiputera,,,,
1.0,,,Krian Laut,Tuan,Abdul Rauf Bin A. Rahman,,male,bumiputera,,,,
1.0,,,Sungei Petani,Tuan,Abdul Samad Bin Osman,,male,bumiputera,,,,
1.0,,,Kuala Kangsar,Tuan Haji,Abdullah Bin Haji Abdul Raof,,male,bumiputera,,,,
1.0,,,Segamat Utara,Tuan Haji,Abdullah Bin Haji Mohd Salleh,,male,bumiputera,,,,
1.0,,,Kota Bharu Hilir,Tuan Haji,Ahmad Bin Abdullah,,male,bumiputera,,,,
1.0,,,Muar Utara,Tuan,Ahmad Bin Arshad,,male,bumiputera,,,,
1.0,,,Setapak,Tuan,Ahmad Boestamam,,male,,,,,
1.0,,,Johor Bahru Barat,Tuan,Ahmad Bin Mohamed Shah,,male,bumiputera,,,,
1.0,,,Seberang Utara,Tuan Haji,Ahmad Bin Saaid,,male,bumiputera,,,,
1.0,,,Krian Darat,Tuan,Ahmad Bin Haji Yusof,,male,bumiputera,,,,
1.0,,,Kubang Pasu Barat,Tuan Haji,Azahari Bin Haji Ibrahim,,male,bumiputera,,,,
1.0,,,Muar Dalam,Tuan,Aziz Bin Ishak,,male,bumiputera,,,,
1.0,,,Besut,Dr.,Burhanuddin Bin Mohd. Noor,,male,bumiputera,,,,
1.0,,,Kluang Selatan,Tuan,Chan Chong Wen,,male,,,,,
1.0,,,Bentong,Tuan,Chan Siang Sun,,male,,,,,
1.0,,,Ulu Kinta,Tuan,Chan Swee Ho,,male,,,,,
1.0,,,Bukit Bintang,Tuan,Cheah Theam Swee,,male,,,,,
1.0,,,Seremban Timur,Tuan,Chin See Yin,,male,,,,,
1.0,,,Bungsar,Tuan,V. David,,male,,,,,
1.0,,,Jitra,Datin,Fatimah Binti Haji Hashim,,female,bumiputera,,,,
1.0,,,Penang Utara,Tuan,Geh Chong Keat,,male,,,,,
1.0,,,Kapar,Tuan,Hamzah Bin Alang,,male,bumiputera,,,,
1.0,,,Kulim Utara,Tuan,Hanafi Bin Mohd. Yunus,,male,bumiputera,,,,
1.0,,,Baling,Tuan,Harun Bin Abdullah,,male,bumiputera,,,,
1.0,,,Terengganu Tengah,Tuan,Harun Bin Pilus,,male,bumiputera,,,,
1.0,,,Kuala Terengganu Utara,Tuan Haji,Hasan Adli Bin Haji Arshad,,male,bumiputera,,,,
1.0,,,Tumpat,Tuan Haji,Hassan Bin Haji Ahmad,,male,bumiputera,,,,
1.0,,,Melaka Selatan,Tuan,Hassan Bin Mansor,,male,bumiputera,,,,
1.0,,,Raub,Tuan,Hussein Bin Toh Muda Hassan,,male,bumiputera,,,,
1.0,,,Parit,Tuan,Hussein Bin Mohd Noordin,,male,bumiputera,,,,
1.0,,,Kota Baru Hulu,Tuan Haji,Hussin Rahimi Bin Haji Saman,,male,bumiputera,,,,
1.0,,,Seberang Tengah,Tuan,Ibrahim Bin Abdul Rahman,,male,bumiputera,,,,
1.0,,,Penang Selatan,Tuan,Ismail Bin Idris,,male,bumiputera,,,,
1.0,,,Batu Pahat,Tuan,Kang Kok Seng,,male,,,,,
1.0,,,Damansara,Tuan,K. Karam Singh,,male,india,,,,
1.0,,,Dungun,Puan,Khadijah Binti Mohd. Sidik,,female,bumiputera,,,,
1.0,,,Batu Gajah,Tuan,Khong Kok Yat,,male,,,,,
1.0,,,Kluang Utara,Tuan,Lee San Choon,,male,,,,,
1.0,,,Tanjong Malim,Tuan,Lee Seck Fun,,male,,,,,
1.0,,,Sepang,Tuan,Lee Siok Yew,,male,,,,,
1.0,,,Kampar,Tuan,Leong Kee Nyean,,male,,,,,
1.0,,,Alor Setar,Tuan,Lim Joo Kong,,male,,,,,
1.0,,,Dato' Keramat,Tuan,Lim Kean Siew,,male,,,,,
1.0,,,Larut Selatan,Tuan,Lim Swee Aun,,male,,,,,
1.0,,,Rawang,Tuan,Liu Yoong Peng,,male,,,,,
1.0,,,Port Dickson,Tuan,T. Mahima Singh,,male,india,,,,
1.0,,,Klang,Tuan,V. Manickavasagam,,male,,,,,
1.0,,,Jelebu,Tuan,Mohamed Bin Ujang,,male,bumiputera,,,,
1.0,,,Hilir Perak,Tuan,Mohamed Abbas Bin Ahmad,,male,bumiputera,,,,
1.0,,,Pasir Puteh,Tuan,Mohamed Asri Bin Haji Muda,,male,bumiputera,,,,
1.0,,,Kuala Selangor,Tuan,Mohamed Dahari Bin Haji Mohd. Ali,,male,bumiputera,,,,
1.0,,,Ulu Perak,Tuan,Mohamed Nor Bin Mohd. Dahan,,male,bumiputera,,,,
1.0,,,Pasir Mas Hulu,Dato',Mohamed Hanifah Bin Haji Abdul Ghani,,male,bumiputera,,,,
1.0,,,Jerai,Tuan,Mohamed Ismail Bin Mohd. Yusof,,male,bumiputera,,,,
1.0,,,Lipis,Tuan,Mohamed Sulong Bin Mohd. Ali,,male,bumiputera,,,,
1.0,,,Temerloh,Tuan,Mohamed Yusof Bin Mahmud,,male,bumiputera,,,,
1.0,,,Perlis Selatan,Tuan Haji,Mokhtar Bin Haji Ismail,,male,bumiputera,,,,
1.0,,,Pasir Mas Hilir,Tuan,Nik Man Bin Nik Mohamed,,male,bumiputera,,,,
1.0,,,Batu,Tuan,Ng Ann Teck,,male,,,,,
1.0,,,Kuala Terengganu Selatan,Dato',Onn Bin Jaafar,,male,bumiputera,,,,
1.0,,,Tanah Merah,Tuan,Othman Bin Abdullah,,male,bumiputera,,,,
1.0,,,Perlis Utara,Tuan,Othman Bin Abdullah,,male,bumiputera,,,,
1.0,,,Seremban Barat,Tuan,Quek Kai Dong,,male,,,,,
1.0,,,Rembau,Tuan Haji,Redza Bin Haji Mohd. Said,,male,bumiputera,,,,
1.0,,,Muar Pantai,Tuan,Seah Teng Ngiab,,male,,,,,
1.0,,,Ipoh,Tuan,D.R Seenivasagam,,male,,,,,
1.0,,,Menglembu,Tuan,S.P Seenivasagam,,male,,,,,
1.0,,,Batu Pahat Dalam,Tuan,Syed Esa Bin Alwee,,male,bumiputera,,,,
1.0,,,Sabak Bernam,Tuan,Syed Hashim Bin Syed Ajam,,male,bumiputera,,,,
1.0,,,Johor Tenggara,Tuan,Syed Ja'afar Bin Hasan Albar,,male,bumiputera,,,,
1.0,,,Larut Utara,Tuan,Tajudin Bin Ali,,male,bumiputera,,,,
1.0,,,Bagan,Tuan,Tan Cheng Bee,,male,,,,,
1.0,,,Bandar Melaka,Tuan,Tan Kee Gak,,male,,,,,
1.0,,,Tanjong,Tuan,Tan Phock Kin,,male,,,,,
1.0,,,Kulim,Tuan,Tan Tye Chek,,male,,,,,
1.0,,,Ulu Kelantan,Tengku,Indra Petra Bin Sultan Ibrahim,,male,bumiputera,,,,
1.0,,,Segamat Selatan,Dato',Teoh Chze Chong,,,,,,,
1.0,,,Seberang Selatan,Tuan,V.Veerappen,,male,,,,,
1.0,,,Kelantan Hilir,Tuan,Wan Mustapha Bin Haji Ali,,male,bumiputera,,,,
1.0,,,,Tuan,Wan Sulaiman Bin Wan Tam,,male,bumiputera,,,,
1.0,,,Kemaman,Tuan,Wan Yahya Bin Haji Wan Mohamed,,male,bumiputera,,,,
1.0,,,Telok Anson,Tuan,Woo Saik Hong,,male,,,,,
