vol,kod_kawasan,negeri,kawasan,uid,gelaran,nama,tahun_lahir,jantina,kumpulan_etnik,parti,jawatan_kabinet,jawatan_parlimen,gambar,spr_name
12.0,P001,Perlis,Padang Besar,2289.0,YB Dato' Seri Haji,Azmi bin Khalid,1941.0,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P001-PDGBESAR1.jpg,AZMI BIN KHALID
12.0,P002,Perlis,Kangar,1663.0,YB Dato' Seri,Mohd Radzi bin Sheikh Ahmad,1942.0,male,bumiputera,BN - UMNO,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/mohd.radzi[1].jpg,MOHD RADZI SHEIKH AHMAD
12.0,P003,Perlis,Arau,3285.0,YB Dato',Ismail Bin Kasim,1960.0,male,bumiputera,BN - UMNO,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P003-ARAU.jpg,ISMAIL BIN KASIM (CHU)
12.0,P004,Kedah,Langkawi,3286.0,YB Dato' Paduka,Abu Bakar bin Taib,1943.0,male,bumiputera,BN - UMNO,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P004-LANGKAWI.jpg,ABU BAKAR TAIB
12.0,P009,Kedah,Alor Setar,1981.0,YB Datuk Seri,Chor Chee Heung,1955.0,male,chinese,BN - MCA,Menteri Perumahan Dan Kerajaan Tempatan,,https://www.parlimen.gov.my/images/webuser/ahli/2010/ALORSETAR.JPG,CHOR CHEE HEUNG
12.0,P015,Kedah,Sungai Petani,3304.0,YB Dato',Johari bin Abdul,1956.0,male,bumiputera,PKR,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P015-SGPETANI.jpg,JOHARI ABDUL
12.0,P017,Kedah,Padang Serai,3308.0,YB Tuan,Gobalakrishnan a/l Nagapan,1961.0,male,indian,BEBAS,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P017-PDGSERAI.jpg,GOBALAKRISHNAN A/L NAGAPAN
12.0,P018,Kedah,Kulim-Bandar Baharu,3309.0,YB Dato',Zulkifli bin Noordin,1962.0,male,bumiputera,BEBAS,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P018-KULIM.jpg,ZULKIFLI BIN NOORDIN
12.0,P005,Kedah,Jerlun,3288.0,YB Dato',Mukhriz bin Tun Mahathir,1965.0,male,bumiputera,BN - UMNO,Timbalan Menteri Perdagangan Antarabangsa Dan Industri,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P005-JERLUN.jpg,MUKHRIZ MAHATHIR
12.0,P006,Kedah,Kubang Pasu,3290.0,YB Dato' Wira,Mohd Johari bin Baharum,1955.0,male,bumiputera,BN - UMNO,Timbalan Menteri Pertanian Dan Industri Asas Tani,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P006-KUBANGPASU1.jpg,MOHD JOHARI BIN BAHARUM
12.0,P007,Kedah,Padang Terap,3292.0,YB Tuan,Mohd Nasir bin Zakaria,1976.0,male,bumiputera,PAS,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P007-PDGTERAP.jpg,NASIR BIN ZAKARIA
12.0,P008,Kedah,Pokok Sena,2928.0,YB Dato' Haji,Mahfuz bin Haji Omar,1958.0,male,bumiputera,PAS,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P008-POKOKSENA.jpg,MAHFUZ OMAR
12.0,P010,Kedah,Kuala Kedah,3295.0,YB Tuan Haji,Ahmad bin Kasim,1964.0,male,bumiputera,PKR,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P010-KUALAKEDAH.jpg,AHMAD BIN KASIM
12.0,P012,Kedah,Jerai,3298.0,YB Tuan,Mohd Firdaus bin Jaafar,1974.0,male,bumiputera,PAS,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P012-JERAI.jpg,MOHD FIRDAUS BIN JAAFAR
12.0,P013,Kedah,Sik,3300.0,YB Tuan,Che Uda bin Che Nik,1949.0,male,bumiputera,PAS,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P013-SIK.jpg,CHE UDA BIN CHE NIK
12.0,P016,Kedah,Baling,3306.0,YB Dato' Haji,Taib Azamudden bin Md Taib,1951.0,male,bumiputera,PAS,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P016-BALING.jpg,TAIB AZAMUDDEN
12.0,P032,Kelantan,Gua Musang,872.0,YBM Tan Sri,Tengku Razaleigh bin Tengku Hamzah,1938.0,male,bumiputera,BN - UMNO,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/TENGKURAZALIGH.JPG,TENGKU RAZALEIGH HAMZAH
12.0,P021,Kelantan,Kota Bharu,3315.0,YB Dato' Haji,Wan Abd. Rahim bin Wan Abdullah,1952.0,male,bumiputera,PAS,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P021-KOTABHARU.jpg,WAN RAHIM
12.0,P025,Kelantan,Bachok,3322.0,YB Tuan Haji,Nasharudin bin Mat Isa,1963.0,male,bumiputera,PAS,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P025-BACHOK.jpg,NASHARUDIN
12.0,P026,Kelantan,Ketereh,3325.0,YB Tuan Haji,Ab Aziz bin Ab Kadir,1963.0,male,bumiputera,PKR,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P026-KETEREH.jpg,ABDUL AZIZ
12.0,P027,Kelantan,Tanah Merah,3327.0,YB Tuan,Amran bin Ab Ghani,1974.0,male,bumiputera,PKR,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P027-TNHMERAH.jpg,AMRAN BIN HJ ABDUL GHANI
12.0,P029,Kelantan,Machang,2615.0,YB Dato',Saifuddin Nasution bin Ismail,1964.0,male,bumiputera,PKR,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P029-MACHANG.jpg,SAIFUDDIN NASUTION ISMAIL
12.0,P030,Kelantan,Jeli,2333.0,YB Dato' Sri,Mustapa bin Mohamed,1951.0,male,bumiputera,BN - UMNO,Menteri Perdagangan Antarabangsa Dan Industri,,https://www.parlimen.gov.my/images/webuser/ahli/2010/JELI.JPG,MUSTAPA BIN MOHAMED
12.0,P031,Kelantan,Kuala Krai,3333.0,YB Dr.,Mohd Hatta bin Md Ramli,1957.0,male,bumiputera,PAS,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P031-K.KRAI.jpg,HATTA RAMLI
12.0,P041,Pulau Pinang,Kepala Batas,2655.0,YB Tun Haji,Abdullah bin Haji Ahmad Badawi,1940.0,male,bumiputera,BN - UMNO,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P041-KEPALABATAS.jpg,ABDULLAH BIN AHMAD BADAWI
12.0,P042,Pulau Pinang,Tasek Gelugor,3350.0,YB Tan Sri,Nor Mohamed Yakcop,1948.0,male,bumiputera,BN - UMNO,Menteri di Jabatan Perdana Menteri,,https://www.parlimen.gov.my/images/webuser/ahli/2010/nor mohamed yakcop.jpg,NOR MOHAMED YAKCOP
12.0,P048,Pulau Pinang,Bukit Bendera,3357.0,YB Tuan,Liew Chin Tong,1978.0,male,chinese,DAP,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P048-BKTBENDERA.jpg,LIEW CHIN TONG
12.0,P050,Pulau Pinang,Jelutong,3361.0,YB Tuan,Ooi Chuan Aun,1956.0,male,chinese,DAP,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P050-JELUTONG.jpg,OOI CHUAN AUN
12.0,P033,Terengganu,Besut,3336.0,YB Dato' Seri Dr.,Abdullah bin Md Zin,1947.0,male,bumiputera,BN - UMNO,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P033-BESUT.jpg,ABDULLAH BIN MD ZIN
12.0,P034,Terengganu,Setiu,3338.0,YB Dato',Mohd Jidin bin Shafee,1956.0,male,bumiputera,BN - UMNO,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P034-SETIU.jpg,MOHD JIDIN BIN SHAFEE
12.0,P035,Terengganu,Kuala Nerus,3340.0,YB Dato',Mohd Nasir bin Ibrahim Fikri,1957.0,male,bumiputera,BN - UMNO,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P035-KNERUS.jpg,MOHD NASIR B. TAN IBRAHIM FIKRI
12.0,P036,Terengganu,Kuala Terengganu,3342.0,YB Tuan Haji,Mohd Abdul Wahid bin Haji Endut,1950.0,male,bumiputera,PAS,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P036-KTGANU2.jpg,RAZALI BIN ISMAIL
12.0,P037,Terengganu,Marang,1712.0,YB Dato' Seri Haji,Abd. Hadi bin Awang,1948.0,male,bumiputera,PAS,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P037-MARANG.jpg,ABDUL HADI BIN AWANG
12.0,P038,Terengganu,Hulu Terengganu,3345.0,YB Tuan Haji,Mohd Nor bin Othman,1953.0,male,bumiputera,BN - UMNO,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P038-HLTGANU.jpg,MOHD NOR BIN OTHMAN
12.0,P039,Terengganu,Dungun,3346.0,YB Datuk,Matulidi bin Jusoh,1958.0,male,bumiputera,BN - UMNO,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P039-DUNGUN.jpg,MATULIDI BIN JUSOH
12.0,P040,Terengganu,Kemaman,2986.0,YB Dato' Sri,Ahmad Shabery bin Cheek,1959.0,male,bumiputera,BN - UMNO,Menteri Belia Dan Sukan,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P040-KEMAMAN2.jpg,AHMAD SHABERY CHEEK
12.0,P055,Perak,Lenggong,3369.0,YB Dato',Shamsul Anuar bin Nasarah,1968.0,male,bumiputera,BN - UMNO,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P055-LENGGONG.jpg,SHAMSUL ANUAR NASARAH
12.0,P056,Perak,Larut,3371.0,YB Datuk,Hamzah Zainudin,1957.0,male,bumiputera,BN - UMNO,"Timbalan Menteri Perusahaan, Perladangan Dan Komoditi",,https://www.parlimen.gov.my/images/webuser/ahli/2010/P056-LARUT.jpg,HAMZAH ZAINUDIN
12.0,P047,Pulau Pinang,Nibong Tebal,3355.0,YB Tuan,Tan Tee Beng,1972.0,male,chinese,KITA,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P047-NIBGTEBAL.jpg,TAN TEE BENG
12.0,P061,Perak,Padang Rengas,2368.0,YB Dato' Seri,Mohamed Nazri bin Tan Sri Abdul Aziz,1955.0,male,bumiputera,BN - UMNO,Menteri di Jabatan Perdana Menteri,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P061-PDGRENGAS1.jpg,MOHAMED NAZRI BIN TAN ABDUL AZIZ
12.0,P062,Perak,Sungai Siput,3019.0,YB Dr.,Micheal Jeyakumar Devaraj,1956.0,male,indian,PSM,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P062-SGSIPUT.jpg,MICHAEL JEYAKUMAR DEVARAJ
12.0,P063,Perak,Tambun,3380.0,YB Dato' Seri Haji,Ahmad Husni bin Mohamad Hanadzlah,1953.0,male,bumiputera,BN - UMNO,Menteri Kewangan II,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P063-TAMBUN1.jpg,AHMAD HUSNI HANADZLAH
12.0,P067,Perak,Kuala Kangsar,1228.0,YB Tan Sri,Rafidah binti Abd. Aziz,1944.0,female,bumiputera,BN - UMNO,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/rafidah.aziz[1].jpg,RAFIDAH AZIZ
