vol,kod_kawasan,negeri,kawasan,gelaran,nama,tahun_lahir,jantina,kumpulan_etnik,parti,jawatan_kabinet,jawatan_parlimen,gambar
15.0,,,,YB Tan Sri Dato' (Dr.),Johari bin Abdul,,,,,,Yang di-Pertua Dewan Rakyat,https://www.parlimen.gov.my/images/webuser/ahli/2022/ypdr.jpg
15.0,P078,Pahang,Cameron Highlands,YB Dato' Dr.,Ramli bin Dato' Mohd Nor,1958.0,male,bumiputera,BN,,Timbalan Yang di-Pertua Dewan Rakyat,https://www.parlimen.gov.my/images/webuser/ahli/2022/P078.jpg
15.0,P211,Sarawak,Lanang,YB Puan,Alice Lau Kiong Yieng,1981.0,female,chinese,PH,,Timbalan Yang di-Pertua Dewan Rakyat,https://www.parlimen.gov.my/images/webuser/ahli/2022/YB Lanang.JPG
15.0,,,,Dr.,Nizam Mydin bin Bacha Mydin,,,,,,Setiausaha Dewan Rakyat,https://www.parlimen.gov.my/images/webuser/ahli/2022/Dr Nizam v2.jpg
15.0,P063,Perak,Tambun,YAB Dato' Seri,Anwar bin Ibrahim,1947.0,male,bumiputera,PH,Perdana Menteri dan Menteri Kewangan,Ketua Majlis,https://www.parlimen.gov.my/images/webuser/ahli/2022/P063.png
15.0,P075,Perak,Bagan Datuk,YAB Dato' Seri Dr.,Ahmad Zahid bin Hamidi,1953.0,male,bumiputera,BN,Timbalan Perdana Menteri dan Menteri Kemajuan Desa dan Wilayah,Timbalan Ketua Majlis,https://www.parlimen.gov.my/images/webuser/ahli/2022/YAB TPM 1.jpg
15.0,P194,Sarawak,Petra Jaya,YAB Dato' Sri Haji,Fadillah bin Haji Yusof,1962.0,male,bumiputera,GPS,Timbalan Perdana Menteri dan Menteri Peralihan Tenaga dan Transformasi Air,Timbalan Ketua Majlis,https://www.parlimen.gov.my/images/webuser/ahli/2022/P194.jpg
15.0,P128,Negeri Sembilan,Seremban,YB Tuan,Loke Siew Fook,1977.0,male,chinese,PH,Menteri Pengangkutan,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P128.png
15.0,P111,Selangor,Kota Raja,YB Datuk Seri Haji,Mohamad bin Sabu,1954.0,male,bumiputera,PH,Menteri Pertanian dan Keterjaminan Makanan,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P111.png
15.0,P100,Selangor,Pandan,YB Dato' Seri,Mohd Rafizi bin Ramli,1977.0,male,bumiputera,PH,Menteri Ekonomi,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P100.png
15.0,P076,Perak,Teluk Intan,YB Tuan,Nga Kor Ming,1972.0,male,chinese,PH,Menteri Perumahan Dan Kerajaan Tempatan,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P076.png
15.0,P131,Negeri Sembilan,Rembau,YB Dato' Seri Utama Haji,Mohamad bin Haji Hasan,1956.0,male,bumiputera,BN,Menteri Luar Negeri,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P131.png
15.0,P215,Sarawak,Kapit,YB Dato Sri,Alexander Nanta Linggi,1958.0,male,bumiputera,GPS,Menteri Kerja Raya,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P215.jpg
15.0,P156,Johor,Kota Tinggi,YB Dato' Seri,Mohamed Khaled bin Nordin,1958.0,male,bumiputera,BN,Menteri Pertahanan,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P156.png
15.0,P077,Perak,Tanjong Malim,YB Tuan,Chang Lih Kang,1980.0,male,chinese,PH,"Menteri Sains, Teknologi dan Inovasi",,https://www.parlimen.gov.my/images/webuser/ahli/2022/P077.jpg
15.0,P193,Sarawak,Santubong,YB Dato' Sri Hajah,Nancy binti Shukri,1961.0,female,bumiputera,GPS,"Menteri Pembangunan Wanita, Keluarga dan Masyarakat",,https://www.parlimen.gov.my/images/webuser/ahli/2022/santubong.jpg
15.0,P157,Johor,Pengerang,YB Dato' Sri,Azalina binti Othman Said,1964.0,female,bumiputera,BN,Menteri di Jabatan Perdana Menteri (Undang-undang dan Reformasi Institusi),,https://www.parlimen.gov.my/images/webuser/ahli/2022/P157.png
15.0,P118,Kuala Lumpur,Setiawangsa,YB Tuan,Nik Nazmi bin Nik Ahmad,1982.0,male,bumiputera,PH,Menteri Sumber Asli dan Kelestarian Alam,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P118.png
15.0,P174,Sabah,Penampang,YB Datuk,Ewon Benedick,1983.0,male,bumiputera,PH,Menteri Pembangunan Usahawan dan Koperasi,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P174.png
15.0,P217,Sarawak,Bintulu,YB Dato Sri,Tiong King Sing,1961.0,male,chinese,GPS,"Menteri Pelancongan, Seni dan Budaya",,https://www.parlimen.gov.my/images/webuser/ahli/2022/P217.png
15.0,P121,Kuala Lumpur,Lembah Pantai,YB Tuan,Ahmad Fahmi bin Mohamed Fadzil,1981.0,male,bumiputera,PH,Menteri Komunikasi,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P121.png
15.0,P047,Pulau Pinang,Nibong Tebal,YB Puan,Fadhlina binti Sidek,1977.0,female,bumiputera,PH,Menteri Pendidikan,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P047.jpg
15.0,P210,Sarawak,Kanowit,YB Datuk,Aaron Ago anak Dagang,1959.0,male,bumiputera,GPS,Menteri Perpaduan Negara,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P210.png
15.0,P117,Kuala Lumpur,Segambut,YB Puan,Hannah Yeoh Tseow Suan,1979.0,female,chinese,PH,Menteri Belia dan Sukan,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P117.png
15.0,P141,Johor,Sekijang,YB Dr.,Zaliha binti Mustafa,1964.0,female,bumiputera,PH,Menteri di Jabatan Perdana Menteri (Wilayah Persekutuan),,https://www.parlimen.gov.my/images/webuser/ahli/2022/P141.jpg
15.0,P175,Sabah,Papar,YB Datuk,Armizan bin Mohd Ali,1976.0,male,bumiputera,GRS,Menteri Perdagangan Dalam Negeri dan Kos Sara Hidup,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P175.png
15.0,P119,Kuala Lumpur,Titiwangsa,YB Datuk Seri,Johari bin Abdul Ghani,1964.0,male,bumiputera,BN,Menteri Perladangan dan Komoditi,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P119.png
15.0,P106,Selangor,Damansara,YB Tuan,Gobind Singh Deo,1973.0,male,other,PH,Menteri Digital,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P106.png
15.0,P096,Selangor,Kuala Selangor,YB Datuk Seri Haji Dr.,Dzulkefly bin Ahmad,1956.0,male,bumiputera,PH,Menteri Kesihatan,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P096.png
15.0,P045,Pulau Pinang,Bukit Mertajam,YB Tuan,Sim Chee Keong,1982.0,male,chinese,PH,Menteri Sumber Manusia,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P045.jpg
15.0,P164,Johor,Pontian,YB Datuk Seri Haji,Ahmad bin Haji Maslan,1966.0,male,bumiputera,BN,Timbalan Menteri Kerja Raya,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P164.png
15.0,P197,Sarawak,Kota Samarahan,YB Datuk Hajah,Rubiah binti Wang,1968.0,female,bumiputera,GPS,Timbalan Menteri Kemajuan Desa dan Wilayah,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P197.jpg
15.0,P221,Sarawak,Limbang,YB Datuk Haji,Hasbi bin Haji Habibollah,1963.0,male,bumiputera,GPS,Timbalan Menteri Pengangkutan,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P221.jpg
15.0,P172,Sabah,Kota Kinabalu,YB Datuk,Chan Foong Hin,1979.0,male,chinese,PH,Timbalan Menteri Perladangan dan Komoditi,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P172.jpg
15.0,P213,Sarawak,Mukah,YB Dato Hajjah,Hanifah Hajar Taib,1972.0,female,bumiputera,GPS,Timbalan Menteri Ekonomi,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P213.jpg
15.0,P160,Johor,Johor Bahru,YB Tuan Haji,Akmal Nasrullah bin Mohd Nasir,1986.0,male,bumiputera,PH,Timbalan Menteri Peralihan Tenaga dan Transformasi Air,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P160.jpg
15.0,P135,Melaka,Alor Gajah,YB Tuan Haji,Adly bin Zahari,1971.0,male,bumiputera,PH,Timbalan Menteri Pertahanan,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P135.jpg
15.0,P079,Pahang,Lipis,YB Dato' Sri,Abdul Rahman bin Haji Mohamad,1962.0,male,bumiputera,BN,Timbalan Menteri Sumber Manusia,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P079.png
15.0,P055,Perak,Lenggong,YB Datuk Seri Dr.,Shamsul Anuar bin Haji Nasarah,1967.0,male,bumiputera,BN,Timbalan Menteri Dalam Negeri,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P055.png
15.0,P162,Johor,Iskandar Puteri,YB Tuan,Liew Chin Tong,1977.0,male,chinese,PH,"Timbalan Menteri Pelaburan, Perdagangan dan Industri",,https://www.parlimen.gov.my/images/webuser/ahli/2022/P162.jpg
15.0,P188,Sabah,Lahad Datu,YB Dato',Mohammad Yusof bin Apdal,1960.0,male,bumiputera,WARISAN,"Timbalan Menteri Sains, Teknologi dan Inovasi",,https://www.parlimen.gov.my/images/webuser/ahli/2022/P188.png
15.0,P182,Sabah,Pensiangan,YB Datuk,Arthur Joseph Kurup,1982.0,male,bumiputera,BN,Timbalan Menteri Pertanian dan Keterjaminan Makanan,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P182.png
15.0,P113,Selangor,Sepang,YB Datuk Hajah,Raj Munni binti Sabu,1972.0,female,bumiputera,PH,Timbalan Menteri Perumahan Dan Kerajaan Tempatan,,https://www.parlimen.gov.my/images/webuser/ahli/2022/YB Sepang.png
15.0,P208,Sarawak,Sarikei,YB Dato' Sri,Huang Tiong Sii,1969.0,male,chinese,GPS,Timbalan Menteri Sumber Asli dan Kelestarian Alam,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P208.jpg
15.0,P176,Sabah,Kimanis,YB Datuk,Mohamad bin Alamin,1972.0,male,bumiputera,BN,Timbalan Menteri Luar Negeri,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P176.png
15.0,P185,Sabah,Batu Sapi,YB Tuan,Khairul Firdaus bin Akbar Khan,1983.0,male,bumiputera,GRS,"Timbalan Menteri Pelancongan, Seni dan Budaya",,https://www.parlimen.gov.my/images/webuser/ahli/2022/P185.png
15.0,P163,Johor,Kulai,YB Puan,Teo Nie Ching,1981.0,female,chinese,PH,Timbalan Menteri Komunikasi,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P163.png
15.0,P049,Pulau Pinang,Tanjong,YB Puan,Lim Hui Ying,1963.0,female,chinese,PH,Timbalan Menteri Kewangan,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P049.jpg
15.0,P137,Melaka,Hang Tuah Jaya,YB Tuan,Adam Adli bin Abd Halim,1989.0,male,bumiputera,PH,Timbalan Menteri Belia dan Sukan,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P137.jpg
