vol,name,birth_year,sex,ethnicity,parti,negeri,kawasan,kod_kawasan,jawatan_kabinet,jawatan_parlimen,uid,author_id,new_uid
12,AARON AGO ANAK DAGANG,1959.0,male,bumiputera,BN - PRS,Sarawak,Kanowit,P210,,,3265.0,20603,3265
13,AARON AGO ANAK DAGANG,1959.0,male,bumiputera,BN - PRS,Sarawak,Kanowit,P210,,,3265.0,20603,3265
15,AARON AGO ANAK DAGANG,1959.0,male,bumiputera,GPS,Sarawak,Kanowit,P210,Menteri Perpaduan Negara,,3265.0,20603,3265
12,AB AZIZ BIN AB KADIR,1963.0,male,bumiputera,PKR,Kelantan,Ketereh,P026,,,3325.0,20604,3325
13,AB. AZIZ BIN KAPRAWI,1960.0,male,bumiputera,BN - UMNO,Johor,Sri Gading,P149,Timbalan Menteri Pengangkutan,,3856.0,20605,3856
12,AB. HALIM BIN AB. RAHMAN,1940.0,male,bumiputera,PAS,Kelantan,Pengkalan Chepa,P020,,,3313.0,20606,3313
13,ABD AZIZ BIN SHEIKH FADZIR,1963.0,male,bumiputera,BN - UMNO,Kedah,Kulim Bandar Baharu,P018,,,3310.0,20607,3310
15,ABD GHANI BIN AHMAD,1970.0,male,bumiputera,PN,Kedah,Jerlun,P005,,,4423.0,20608,4423
12,ABD KHALID BIN IBRAHIM,1947.0,male,bumiputera,PKR,WP Kuala Lumpur,Bandar Tun Razak,P124,,,3467.0,20609,3467
13,ABD KHALID BIN IBRAHIM,1947.0,male,bumiputera,PKR > BEBAS,WP Kuala Lumpur,Bandar Tun Razak,P124,,,3467.0,20609,3467
12,ABD RAHIM BIN BAKRI,1961.0,male,bumiputera,BN - UMNO,Sabah,Kudat,P167,Timbalan Menteri Pengangkutan,,3533.0,20610,3533
13,ABD RAHIM BIN BAKRI,1961.0,male,bumiputera,BN - UMNO,Sabah,Kudat,P167,,,3533.0,20610,3533
14,ABD RAHIM BIN BAKRI,1961.0,male,bumiputera,BN - UMNO > BERSATU,Sabah,KUDAT,P167,,,3533.0,20610,3533
12,ABD. HADI BIN AWANG,1947.0,male,bumiputera,PAS,Terengganu,Marang,P037,,,1712.0,20611,1712
13,ABD. LATIFF BIN AHMAD,1959.0,male,bumiputera,BN - UMNO,Johor,Mersing,P154,,,3512.0,20620,3512
12,ABD. RAHMAN BIN BAKRI,1966.0,male,bumiputera,BN - UMNO,Selangor,Sabak Bernam,P092,,,3421.0,20612,3421
13,ABDUL AZEEZ BIN ABDUL RAHIM,1967.0,male,bumiputera,BN - UMNO,Kedah,Baling,P016,,,3305.0,20613,3305
14,ABDUL AZEEZ BIN ABDUL RAHIM,1967.0,male,bumiputera,BN - UMNO,Kedah,BALING,P016,,,3305.0,20613,3305
13,ABDUL GHANI BIN MOHAMED YASSIN,,male,bumiputera,BN - UMNO,Sabah,,,TIADA,TIADA,,20614,20614
12,ABDUL GHAPUR BIN SALLEH,1943.0,male,bumiputera,BN - UMNO,Sabah,Kalabakan,P191,,,3238.0,20615,3238
13,ABDUL GHAPUR BIN SALLEH,1943.0,male,bumiputera,BN - UMNO,Sabah,Kalabakan,P191,,,3238.0,20615,3238
13,ABDUL HADI AWANG,1947.0,male,bumiputera,PAS,Terengganu,Marang,P037,,,1712.0,20616,1712
15,ABDUL HADI BIN AWANG,1947.0,male,bumiputera,PN,Terengganu,Marang,P037,,,1712.0,20611,1712
14,ABDUL HADI BIN HAJI AWANG,1948.0,male,bumiputera,PAS,Terengganu,MARANG,P037,,,1712.0,20616,1712
13,ABDUL HALIM BIN ABD. SAMAD,,male,bumiputera,BN - UMNO,TIADA,,,TIADA,Timbalan Yang di-Pertua Dewan Negara,,20617,20617
15,ABDUL HALIM BIN HAJI SULEIMAN,,male,bumiputera,UMNO,Johor,,,TIADA,Ahli Dewan Negara,,20618,20618
15,ABDUL KHALIB BIN ABDULLAH,1959.0,male,bumiputera,PN,Pahang,Rompin,P091,,,4756.0,20619,4756
14,ABDUL LATIFF BIN ABDUL RAHMAN,1972.0,male,bumiputera,PAS,Kelantan,KUALA KRAI,P031,,,4043.0,20587,4043
15,ABDUL LATIFF BIN ABDUL RAHMAN,1971.0,male,bumiputera,PN,Kelantan,Kuala Krai,P031,,,4535.0,20587,4043
12,ABDUL LATIFF BIN AHMAD,1959.0,male,bumiputera,BN - UMNO,Johor,Mersing,P154,Timbalan Menteri Pertahanan,,3512.0,20620,3512
14,ABDUL LATIFF BIN AHMAD,1959.0,male,bumiputera,BN - UMNO > BERSATU,Johor,MERSING,P154,Menteri di Jabatan Perdana Menteri (Tugas-Tugas Khas),,3512.0,20620,3512
12,ABDUL MANAN BIN ISMAIL,1949.0,male,bumiputera,BN - UMNO,Pahang,Paya Besar,P084,,,3411.0,20621,3411
15,ABDUL NASIR BIN HAJI IDRIS,,male,bumiputera,PAS,Kedah,,,TIADA,Ahli Dewan Negara,,20622,20622
12,ABDUL RAHMAN BIN BAKAR,,male,bumiputera,BN - UMNO,TIADA,,,TIADA,TIADA,,20625,20625
13,ABDUL RAHMAN BIN DAHLAN,1966.0,male,bumiputera,BN - UMNO,Sabah,Kota Belud,P169,Menteri di Jabatan Perdana Menteri,,3538.0,20626,3538
12,ABDUL RAHMAN BIN HAJI DAHLAN,1966.0,male,bumiputera,BN - UMNO,Sabah,Kota Belud,P169,,,3538.0,20626,3538
15,ABDUL RAHMAN BIN HAJI MOHAMAD,1962.0,male,bumiputera,BN,Pahang,Lipis,P079,Timbalan Menteri Sumber Manusia,,4712.0,20624,3752
13,ABDUL RAHMAN BIN MAT YASIN,,male,bumiputera,BN - UMNO,Terengganu,,,TIADA,TIADA,,20623,20623
13,ABDUL RAHMAN BIN MOHAMAD,1962.0,male,bumiputera,BN - UMNO,Pahang,Lipis,P079,,,3752.0,20624,3752
14,ABDUL RAHMAN BIN MOHAMAD,1962.0,male,bumiputera,BN - UMNO,Pahang,LIPIS,P079,Timbalan Menteri Pembangunan Luar Bandar I,,3752.0,20624,3752
12,ABDUL SHUKOR BIN P A MOHD SULTAN,,male,bumiputera,BN - UMNO,Perlis,,,TIADA,TIADA,,20627,20627
