vol,author,birth_year,sex,ethnicity,party,negeri,area,kod_kawasan,exec_posts,service_posts,author_id,start_date,end_date
12,AARON AGO ANAK DAGANG,1959.0,male,bumiputera,BN - PRS,Sarawak,Kanowit,P210,,,3265,2008-03-08,2013-04-03
13,AARON AGO ANAK DAGANG,1959.0,male,bumiputera,BN - PRS,Sarawak,Kanowit,P210,,,3265,2013-05-05,2018-04-07
15,AARON AGO ANAK DAGANG,1959.0,male,bumiputera,GPS,Sarawak,Kanowit,P210,Menteri Perpaduan Negara,,3265,2022-11-19,
12,AB AZIZ BIN AB KADIR,1963.0,male,bumiputera,PKR,Kelantan,Ketereh,P026,,,3325,2008-03-08,2013-04-03
13,AB. AZIZ BIN KAPRAWI,1960.0,male,bumiputera,BN - UMNO,Johor,Sri Gading,P149,Timbalan Menteri Pengangkutan,,3856,2013-05-05,2018-04-07
12,AB. HALIM BIN AB. RAHMAN,1940.0,male,bumiputera,PAS,Kelantan,Pengkalan Chepa,P020,,,3313,2008-03-08,2013-04-03
13,ABD AZIZ BIN SHEIKH FADZIR,1963.0,male,bumiputera,BN - UMNO,Kedah,Kulim Bandar Baharu,P018,,,3310,2013-05-05,2018-04-07
15,ABD GHANI BIN AHMAD,1970.0,male,bumiputera,PN,Kedah,Jerlun,P005,,,4423,2022-11-19,
12,ABD KHALID BIN IBRAHIM,1947.0,male,bumiputera,PKR,WP Kuala Lumpur,Bandar Tun Razak,P124,,,3467,2008-03-08,2013-04-03
13,ABD KHALID BIN IBRAHIM,1947.0,male,bumiputera,PKR > BEBAS,WP Kuala Lumpur,Bandar Tun Razak,P124,,,3467,2013-05-05,2018-04-07
12,ABD RAHIM BIN BAKRI,1961.0,male,bumiputera,BN - UMNO,Sabah,Kudat,P167,Timbalan Menteri Pengangkutan,,3533,2008-03-08,2013-04-03
13,ABD RAHIM BIN BAKRI,1961.0,male,bumiputera,BN - UMNO,Sabah,Kudat,P167,,,3533,2013-05-05,2018-04-07
14,ABD RAHIM BIN BAKRI,1961.0,male,bumiputera,BN - UMNO > BERSATU,Sabah,KUDAT,P167,,,3533,2018-05-09,2022-10-10
12,ABD. HADI BIN AWANG,1947.0,male,bumiputera,PAS,Terengganu,Marang,P037,,,1712,2008-03-08,2013-04-03
13,ABD. LATIFF BIN AHMAD,1959.0,male,bumiputera,BN - UMNO,Johor,Mersing,P154,,,3512,2013-05-05,2018-04-07
12,ABD. RAHMAN BIN BAKRI,1966.0,male,bumiputera,BN - UMNO,Selangor,Sabak Bernam,P092,,,3421,2008-03-08,2013-04-03
13,ABDUL AZEEZ BIN ABDUL RAHIM,1967.0,male,bumiputera,BN - UMNO,Kedah,Baling,P016,,,3305,2013-05-05,2018-04-07
14,ABDUL AZEEZ BIN ABDUL RAHIM,1967.0,male,bumiputera,BN - UMNO,Kedah,BALING,P016,,,3305,2018-05-09,2022-10-10
12,ABDUL GHAPUR BIN SALLEH,1943.0,male,bumiputera,BN - UMNO,Sabah,Kalabakan,P191,,,3238,2008-03-08,2013-04-03
13,ABDUL GHAPUR BIN SALLEH,1943.0,male,bumiputera,BN - UMNO,Sabah,Kalabakan,P191,,,3238,2013-05-05,2018-04-07
13,ABDUL HADI AWANG,1947.0,male,bumiputera,PAS,Terengganu,Marang,P037,,,1712,2013-05-05,2018-04-07
15,ABDUL HADI BIN AWANG,1947.0,male,bumiputera,PN,Terengganu,Marang,P037,,,1712,2022-11-19,
14,ABDUL HADI BIN HAJI AWANG,1948.0,male,bumiputera,PAS,Terengganu,MARANG,P037,,,1712,2018-05-09,2022-10-10
15,ABDUL KHALIB BIN ABDULLAH,1959.0,male,bumiputera,PN,Pahang,Rompin,P091,,,4756,2022-11-19,
