ge,state,parlimen,ballot_order,party,votes,result,result_desc,uid,name,birth_year,sex,ethnicity
12,Perlis,P.001 Padang Besar,1,BARISAN NASIONAL (BN),16991,1,won,2289,AZMI BIN KHALID,1941,male,bumiputera
12,Perlis,P.001 Padang Besar,2,PARTI ISLAM SE MALAYSIA (PAS),11643,0,lost,3282,ZOLKHARNAIN BIN ABIDIN,1968,male,bumiputera
12,Perlis,P.002 Kangar,1,BARISAN NASIONAL (BN),23821,1,won,1663,MOHD. RADZI BIN SHEIKH AHMAD,1942,male,bumiputera
12,Perlis,P.002 Kangar,2,PARTI KEADILAN RAKYAT (PKR),10150,0,lost,3283,TUNKU ABDUL RAHMAN,1942,male,bumiputera
12,Perlis,P.003 Arau,1,PARTI ISLAM SE MALAYSIA (PAS),16151,0,lost,3284,HARON DIN,1941,male,bumiputera
12,Perlis,P.003 Arau,2,BARISAN NASIONAL (BN),16451,1,won,3285,ISMAIL BIN KASIM (CHU),1960,male,bumiputera
12,Kedah,P.004 Langkawi,1,BARISAN NASIONAL (BN),13762,1,won,3286,ABU BAKAR TAIB,1943,male,bumiputera
12,Kedah,P.004 Langkawi,2,PARTI KEADILAN RAKYAT (PKR),8792,0,lost,3287,WAN SALLEH,1952,male,bumiputera
12,Kedah,P.005 Jerlun,1,PARTI ISLAM SE MALAYSIA (PAS),17219,0,lost,2922,IDRIS AHMAD,1964,male,bumiputera
12,Kedah,P.005 Jerlun,2,BARISAN NASIONAL (BN),19424,1,won,3288,MUKHRIZ BIN MAHATHIR,1964,male,bumiputera
12,Kedah,P.006 Kubang Pasu,1,PARTI ISLAM SE MALAYSIA (PAS),17119,0,lost,3289,ISA ISMAIL,1948,male,bumiputera
12,Kedah,P.006 Kubang Pasu,2,BARISAN NASIONAL (BN),24179,1,won,3290,MOHD JOHARI BIN BAHARUM,1954,male,bumiputera
12,Kedah,P.007 Padang Terap,1,BARISAN NASIONAL (BN),14634,0,lost,3291,GHAZALI BIN IBRAHIM,1954,male,bumiputera
12,Kedah,P.007 Padang Terap,2,PARTI ISLAM SE MALAYSIA (PAS),15003,1,won,3292,NASIR BIN ZAKARIA,1976,male,bumiputera
12,Kedah,P.008 Pokok Sena,1,BARISAN NASIONAL (BN),23956,0,lost,3293,ABDUL RAHMAN BIN IBRAHIM,1950,male,bumiputera
12,Kedah,P.008 Pokok Sena,2,PARTI ISLAM SE MALAYSIA (PAS),29687,1,won,2928,MAHFUZ OMAR,1958,male,bumiputera
12,Kedah,P.009 Alor Setar,1,BARISAN NASIONAL (BN),20741,1,won,1981,CHOR CHEE HEUNG,1955,male,chinese
12,Kedah,P.009 Alor Setar,2,PARTI KEADILAN RAKYAT (PKR),20557,0,lost,3294,GOOI HSIAO-LEUNG,1973,male,chinese
12,Kedah,P.010 Kuala Kedah,1,PARTI KEADILAN RAKYAT (PKR),35689,1,won,3295,AHAMD BIN KASIM,1964,male,bumiputera
12,Kedah,P.010 Kuala Kedah,2,BARISAN NASIONAL (BN),28671,0,lost,3296,HASHIM BIN JAHAYA,1963,male,bumiputera
12,Kedah,P.011 Pendang,1,PARTI ISLAM SE MALAYSIA (PAS),27311,1,won,2934,DR MOHD HAYATI OTHMAN,1958,male,bumiputera
12,Kedah,P.011 Pendang,2,BARISAN NASIONAL (BN),23238,0,lost,3297,MOHD ROZAI BIN HJ SHAFIAN,1955,male,bumiputera
12,Kedah,P.012 Jerai,1,PARTI ISLAM SE MALAYSIA (PAS),26510,1,won,3298,MOHD FIRDAUS BIN JAFFAR,1974,male,bumiputera
12,Kedah,P.012 Jerai,2,BARISAN NASIONAL (BN),24211,0,lost,2304,BADRUDDIN BIN AMIRULDIN,1951,male,bumiputera
12,Kedah,P.013 Sik,1,BARISAN NASIONAL (BN),16383,0,lost,3299,OTHMAN BIN DESA,1954,male,bumiputera
12,Kedah,P.013 Sik,2,PARTI ISLAM SE MALAYSIA (PAS),16864,1,won,3300,CHE UDA BIN CHE NIK,1949,male,bumiputera
12,Kedah,P.014 Merbok,1,BARISAN NASIONAL (BN),22443,0,lost,3301,TAJUL URUS MAT ZAIN,1952,male,bumiputera
12,Kedah,P.014 Merbok,2,PARTI KEADILAN RAKYAT (PKR),25541,1,won,3302,RASHID DIN,1947,male,bumiputera
12,Kedah,P.015 Sungai Petani,1,BARISAN NASIONAL (BN),24441,0,lost,3303,ZAINUDIN BIN MAIDIN,1940,male,bumiputera
12,Kedah,P.015 Sungai Petani,2,PARTI KEADILAN RAKYAT (PKR),33822,1,won,3304,JOHARI ABDUL,1955,male,bumiputera
12,Kedah,P.016 Baling,1,BARISAN NASIONAL (BN),28461,0,lost,3305,AZEEZ RAHIM,1967,male,bumiputera
12,Kedah,P.016 Baling,2,PARTI ISLAM SE MALAYSIA (PAS),36074,1,won,3306,TAIB AZAMUDDEN,1951,male,bumiputera
12,Kedah,P.017 Padang Serai,1,BARISAN NASIONAL (BN),17036,0,lost,3307,BOEY CHIN GAN,1966,male,chinese
12,Kedah,P.017 Padang Serai,2,PARTI KEADILAN RAKYAT (PKR),28774,1,won,3308,GOBALAKRISHNAN A/L NAGAPAN,1960,male,indian
12,Kedah,P.018 Kulim-Bandar Baharu,1,PARTI KEADILAN RAKYAT (PKR),22255,1,won,3309,ZULKIFLI BIN NOORDIN,1962,male,bumiputera
12,Kedah,P.018 Kulim-Bandar Baharu,2,BARISAN NASIONAL (BN),16672,0,lost,3310,ABDUL AZIZ SHEIKH FADZIR,1963,male,bumiputera
12,Kelantan,P.019 Tumpat,1,PARTI ISLAM SE MALAYSIA (PAS),36714,1,won,3311,KAMARUDIN JAFFAR,1952,male,bumiputera
12,Kelantan,P.019 Tumpat,2,BARISAN NASIONAL (BN),27337,0,lost,3312,DR ASYRAF WAJDI DUSUKI,1976,male,bumiputera
12,Kelantan,P.020 Pengkalan Chepa,1,PARTI ISLAM SE MALAYSIA (PAS),26763,1,won,3313,ABHALIM BIN ABRAHMAN,1940,male,bumiputera
12,Kelantan,P.020 Pengkalan Chepa,2,BARISAN NASIONAL (BN),15452,0,lost,3314,RAHIM ZAIN,1962,male,bumiputera
12,Kelantan,P.021 Kota Bharu,1,PARTI ISLAM SE MALAYSIA (PAS),32129,1,won,3315,WAN RAHIM,1952,male,bumiputera
12,Kelantan,P.021 Kota Bharu,2,BARISAN NASIONAL (BN),20841,0,lost,3316,MOHAMAD FATMI BIN CHE SALLEH,1957,male,bumiputera
12,Kelantan,P.022 Pasir Mas,1,PARTI ISLAM SE MALAYSIA (PAS),28673,1,won,1692,IBRAHIM BIIN ALI,1951,male,bumiputera
12,Kelantan,P.022 Pasir Mas,2,BARISAN NASIONAL (BN),19682,0,lost,3317,AHMAD ROSDI BIN MAHMAD,1966,male,bumiputera
12,Kelantan,P.023 Rantau Panjang,1,PARTI ISLAM SE MALAYSIA (PAS),19344,1,won,3318,KAK LAH,1963,female,bumiputera
12,Kelantan,P.023 Rantau Panjang,2,BARISAN NASIONAL (BN),14858,0,lost,3319,AFANDI,1975,male,bumiputera
12,Kelantan,P.023 Rantau Panjang,3,BEBAS (BEBAS),330,0,lost_deposit,3320,ISMA AIRFATH BIN HASSANUDDIN,1970,male,bumiputera
12,Kelantan,P.024 Kubang Kerian,1,PARTI ISLAM SE MALAYSIA (PAS),27179,1,won,2958,SALAHUDDIN AYUB,1962,male,bumiputera
12,Kelantan,P.024 Kubang Kerian,2,BARISAN NASIONAL (BN),16537,0,lost,3321,ABDUL GHANI MAMAT,1960,male,bumiputera
12,Kelantan,P.025 Bachok,1,PARTI ISLAM SE MALAYSIA (PAS),28835,1,won,3322,NASHARUDIN,1963,male,bumiputera
12,Kelantan,P.025 Bachok,2,BARISAN NASIONAL (BN),25934,0,lost,3323,AWANG,1955,male,bumiputera
12,Kelantan,P.026 Ketereh,1,BARISAN NASIONAL (BN),21338,0,lost,3324,ANNUAR MUSA,1956,male,bumiputera
12,Kelantan,P.026 Ketereh,2,PARTI KEADILAN RAKYAT (PKR),21738,1,won,3325,ABDUL AZIZ,1963,male,bumiputera
12,Kelantan,P.027 Tanah Merah,1,BARISAN NASIONAL (BN),15970,0,lost,3326,SHAARI,1968,male,bumiputera
12,Kelantan,P.027 Tanah Merah,2,PARTI KEADILAN RAKYAT (PKR),17554,1,won,3327,AMRAN BIN HJ ABDUL GHANI,1974,male,bumiputera
12,Kelantan,P.027 Tanah Merah,3,BEBAS (BEBAS),1439,0,lost_deposit,3328,ASMADI BIN ABU BAKAR,1976,male,bumiputera
12,Kelantan,P.028 Pasir Puteh,1,BARISAN NASIONAL (BN),24397,0,lost,3329,AMRAN MAT NOR,1965,male,bumiputera
12,Kelantan,P.028 Pasir Puteh,2,PARTI ISLAM SE MALAYSIA (PAS),28365,1,won,3330,MUHAMMAD HUSAIN,1952,male,bumiputera
12,Kelantan,P.029 Machang,1,PARTI KEADILAN RAKYAT (PKR),21041,1,won,2615,SAIFUDDIN NASUTION BIN ISMAIL,1964,male,bumiputera
12,Kelantan,P.029 Machang,2,BARISAN NASIONAL (BN),19581,0,lost,3331,SAZMI,1964,male,bumiputera
12,Kelantan,P.030 Jeli,1,PARTI ISLAM SE MALAYSIA (PAS),12732,0,lost,3332,PENDI,1961,male,bumiputera
12,Kelantan,P.030 Jeli,2,BARISAN NASIONAL (BN),17168,1,won,2333,MUSTAPHA BIN MOHAMAD,1951,male,bumiputera
12,Kelantan,P.031 Kuala Krai,1,PARTI ISLAM SE MALAYSIA (PAS),23562,1,won,3333,HATTA RAMLI,1957,male,bumiputera
12,Kelantan,P.031 Kuala Krai,2,BARISAN NASIONAL (BN),18578,0,lost,3334,CHE MUSA,1950,male,bumiputera
12,Kelantan,P.032 Gua Musang,1,PARTI ISLAM SE MALAYSIA (PAS),9669,0,lost,3335,ZULKIFLI BIN MOHAMAD,1966,male,bumiputera
12,Kelantan,P.032 Gua Musang,2,BARISAN NASIONAL (BN),14063,1,won,872,TENGKU RAZALEIGH BIN TENGKU MOHD. HAMZAH,1937,male,bumiputera
