kod_kawasan,kawasan,nama,parti,negeri,vol
P001,Perlis Utara,Othman Abdullah,Perikatan (UMNO),Perlis,1
P002,Perlis Selatan,Mokhtar Ismail,Perikatan (UMNO),Perlis,1
P003,Jitra-Padang Terap,Fatimah Hashim,Perikatan (UMNO),Kedah,1
P004,Kubang Pasu Barat,Azahari Ibrahim,Perikatan (UMNO),Kedah,1
P005,Kota Star Utara,Abdul Khalid Awang Osman,Perikatan (UMNO),Kedah,1
P006,Alor Star,Lim Joo Kong,Perikatan (MCA),Kedah,1
P007,Kuala Kedah,Tunku Abdul Rahman Sultan Abdul Hamid Halim Shah,Perikatan (UMNO),Kedah,1
P008,Kota Star Selatan,Wan Sulaiman Wan Tam,Perikatan (UMNO),Kedah,1
P009,Kedah Tengah,Mohamed Khir Johari sejak 30 September 1959,Perikatan (UMNO),Kedah,1
P010,Jerai,Mohamed Ismail Mohd Yusof,Perikatan (UMNO),Kedah,1
P011,Baling,Harun Abdullah,Perikatan (UMNO),Kedah,1
P012,Sungei Patani,Abdul Samad Osman,Perikatan (UMNO),Kedah,1
P013,Kulim Utara,Hanafi Mohd Yunus,Perikatan (UMNO),Kedah,1
P014,Kulim-Bandar Bahru,Tan Tye Chek,Perikatan (MCA),Kedah,1
P015,Tumpat,Hassan Ahmad,PAS,Kelantan,1
P016,Kelantan Hilir,Wan Mustapha Ali,PAS,Kelantan,1
P017,Pasir Mas Hilir,Nik Man Nik Mohamed,PAS,Kelantan,1
P018,Kota Bharu Hilir,Ahmad Abdullah,PAS,Kelantan,1
P019,Bachok,Zulkiflee Muhammad,PAS,Kelantan,1
P020,Kota Bharu Hulu,Hussain Rahimi Saman,PAS,Kelantan,1
P021,Pasir Mas Hulu,Mohamed Hanifah Abdul Ghani,PAS,Kelantan,1
P022,Pasir Puteh,Mohamad Asri Muda,PAS,Kelantan,1
P023,Tanah Merah,Othman Abdullah,PAS,Kelantan,1
P024,Ulu Kelantan,Tengku Indera Petra Tengku Abdullah Sultan Ibrahim,Perikatan (UMNO),Kelantan,1
P025,Besut,Burhanuddin al-Helmi,PAS,Terengganu,1
P026,Kuala Trengganu Utara,Hassan Adli Mohd Arshad,PAS,Terengganu,1
P027,Kuala Trengganu Selatan,Ismail Kassim sejak 19 Mac 1962,Perikatan (UMNO),Terengganu,1
P027,Kuala Trengganu Selatan,Onn Jaafar sehingga 19 Januari 1962,Negara,Terengganu,1
P028,Dungun,Che Khadijah Mohd Sidik,PAS,Terengganu,1
P029,Kemaman,Wan Yahya Wan Mohamed,Perikatan (UMNO),Terengganu,1
P030,Trengganu Tengah,Harun Pilus,PAS,Terengganu,1
P031,Bagan,Tan Cheng Bee,Perikatan (MCA),Pulau Pinang,1
P032,Seberang Tengah,Ibrahim Abdul Rahman,Perikatan (UMNO),Pulau Pinang,1
P033,Seberang Selatan,Veerappen Veerathan,BS (Buruh),Pulau Pinang,1
P034,Penang Utara,Geh Chong Keat,Perikatan (MCA),Pulau Pinang,1
P035,Penang Selatan,Ismail Idris,Perikatan (UMNO),Pulau Pinang,1
P036,Tanjong,Tan Phock Kin,BS (Buruh),Pulau Pinang,1
P037,Dato' Kramat,Lim Kean Siew,BS (Buruh),Pulau Pinang,1
P038,Seberang Utara,Ahmad Saaid,Perikatan (UMNO),Pulau Pinang,1
P039,Ulu Perak,Mohamed Nor Mohd Dahan,Perikatan (UMNO),Perak,1
P040,Krian Laut,Abdul Rauf Abdul Rahman,Perikatan (UMNO),Perak,1
P041,Krian Darat,Ahmad Yusof,Perikatan (UMNO),Perak,1
P042,Larut Utara,Tajudin Ali,Perikatan (UMNO),Perak,1
P043,Larut Selatan,Lim Swee Aun,Perikatan (MCA),Perak,1
P044,Bruas,Yeoh Tat Beng,Bebas,Perak,1
P045,Sitiawan,Yong Woo Ming,Perikatan (MCA),Perak,1
P046,Sungei Siput,V. T. Sambanthan,Perikatan (MIC),Perak,1
P047,Kuala Kangsar,Abdullah Abdul Raof,Perikatan (UMNO),Perak,1
P048,Parit,Hussein Mohd Noordin,Perikatan (UMNO),Perak,1
P049,Ulu Kinta,Chan Swee Ho,PPP,Perak,1
P050,Ipoh,D. R. Seenivasagam,PPP,Perak,1
P051,Menglembu,S. P. Seenivasagam,PPP,Perak,1
P052,Batu Gajah,Khong Kok Yat,PPP,Perak,1
P053,Kampar,Chan Yoon Onn dari 18 Mei 1960,PPP,Perak,1
P053,Kampar,Leong Kee Nyean hingga 31 Mac 1961,Perikatan (MCA),Perak,1
