vol,kod_kawasan,negeri,kawasan,gelaran,nama,tahun_lahir,jantina,kumpulan_etnik,parti_x,jawatan_kabinet,jawatan_parlimen,gambar,parti_y
1,P007,Kedah,Kuala Kedah,Y.T.M. Tunku,Abdul Rahman Putra AlHaj,,male,bumiputera,,Perdana Menteri,,,Perikatan - UMNO
1,P062,Pahang,Pekan,Y.A.B. Tun,Abdul Razak Bin Dato' Hussain,,male,bumiputera,,Timbalan Perdana Menteri,,,Perikatan - UMNO
1,P102,Johor,Johor Timur,Dato' Dr.,Ismail Bin Dato' Abdul Rahman,,male,bumiputera,,,,,Perikatan - UMNO
1,P046,Perak,Sungei Siput,Dato',V.T. Sambanthan,,male,indian,,,,,Perikatan - MIC
1,P092,Johor,Muar Selatan,Dato',Suleiman Bin Dato' Abdul Rahman,,male,bumiputera,,,,,Perikatan - UMNO
1,P097,Johor,Pontian Utara,Tuan,Sardon Bin Haji Jubir,,male,bumiputera,,,,,Perikatan - UMNO
1,P078,Selangor,Ulu Selangor,Dato',Ong Yoke Lin,,male,chinese,,,,,Perikatan - MCA
1,P085,Melaka,Melaka Tengah,Tuan,Tan Siew Sin,,male,chinese,,,,,Perikatan - MCA
1,P079,Negeri Sembilan,Kuala Pilah,Tuan,Bahaman Bin Samsudin,,male,bumiputera,,,,,Perikatan - UMNO
1,P061,Pahang,Kuantan,Tuan,Abdul Rahman Bin Haji Talib,,male,bumiputera,,,,,Perikatan - UMNO
1,P075,Selangor,Kuala Langat,Tuan,Abdul Aziz bin Ishak,,male,bumiputera,,,,,Perikatan (UMNO) > PPK
1,P087,Melaka,Melaka Utara,Tuan,Abdul Ghani Bin Ishak,,male,bumiputera,,,,,Perikatan - UMNO
1,P057,Perak,Batang Padang,Tuan,Abdul Hamid Khan Bin Haji Sakhawat Ali Khan,,male,bumiputera,,,,,Perikatan - UMNO
1,P005,Kedah,Kota Star Utara,Tuan Haji,Abdul Khalid Bin Awang Osman,,male,bumiputera,,,,,Perikatan - UMNO
1,P040,Perak,Krian Laut,Tuan,Abdul Rauf Bin A. Rahman,,male,bumiputera,,,,,Perikatan - UMNO
1,P012,Kedah,Sungei Petani,Tuan,Abdul Samad Bin Osman,,male,bumiputera,,,,,Perikatan - UMNO
1,P047,Perak,Kuala Kangsar,Tuan Haji,Abdullah Bin Haji Abdul Raof,,male,bumiputera,,,,,Perikatan - UMNO
1,P103,Johor,Segamat Utara,Tuan Haji,Abdullah Bin Haji Mohd Salleh,,male,bumiputera,,,,,Perikatan - UMNO
1,P018,Kelantan,Kota Bharu Hilir,Tuan Haji,Ahmad Bin Abdullah,,male,bumiputera,,,,,PAS
1,P104,Johor,Muar Utara,Tuan,Ahmad Bin Arshad,,male,bumiputera,,,,,Perikatan - UMNO
1,P070,Selangor,Setapak,Tuan,Ahmad Boestamam,,male,bumiputera,,,,,BS - PRM
1,P101,Johor,Johor Bahru Barat,Tuan,Ahmad Bin Mohamed Shah,,male,bumiputera,,,,,Perikatan - UMNO
1,P038,Pulau Pinang,Seberang Utara,Tuan Haji,Ahmad Bin Saaid,,male,bumiputera,,,,,Perikatan - UMNO
1,P041,Perak,Krian Darat,Tuan,Ahmad Bin Haji Yusof,,male,bumiputera,,,,,Perikatan - UMNO
1,P004,Kedah,Kubang Pasu Barat,Tuan Haji,Azahari Bin Haji Ibrahim,,male,bumiputera,,,,,Perikatan - UMNO
1,P089,Johor,Muar Dalam,Tuan,Aziz Bin Ishak,,male,bumiputera,,,,,Perikatan - UMNO
1,P025,Terengganu,Besut,Dr.,Burhanuddin Bin Mohd. Noor,,male,bumiputera,,,,,PAS
1,P099,Johor,Kluang Selatan,Tuan,Chan Chong Wen,,male,chinese,,,,,Perikatan - MCA
1,P060,Pahang,Bentong,Tuan,Chan Siang Sun,,male,chinese,,,,,Perikatan - MCA
1,P049,Perak,Ulu Kinta,Tuan,Chan Swee Ho,,male,chinese,,,,,PPP
1,P072,Selangor,Bukit Bintang,Tuan,Cheah Theam Swee,,male,chinese,,,,,Perikatan - MCA
1,P080,Negeri Sembilan,Seremban Timur,Tuan,Chin See Yin,,male,chinese,,,,,BEBAS
1,P071,Selangor,Bangsar,Tuan,V. David,,male,indian,,,,,BS - Buruh
1,P003,Kedah,Jitra,Datin,Fatimah Binti Haji Hashim,,female,bumiputera,,,,,Perikatan - UMNO
1,P034,Pulau Pinang,Penang Utara,Tuan,Geh Chong Keat,,male,chinese,,,,,Perikatan - MCA
1,P067,Selangor,Kapar,Tuan,Hamzah Bin Alang,,male,bumiputera,,,,,Perikatan - UMNO
1,P013,Kedah,Kulim Utara,Tuan,Hanafi Bin Mohd. Yunus,,male,bumiputera,,,,,Perikatan - UMNO
1,P011,Kedah,Baling,Tuan,Harun Bin Abdullah,,male,bumiputera,,,,,Perikatan - UMNO
1,P030,Terengganu,Terengganu Tengah,Tuan,Harun Bin Pilus,,male,bumiputera,,,,,PAS
1,P026,Terengganu,Kuala Terengganu Utara,Tuan Haji,Hasan Adli Bin Haji Arshad,,male,bumiputera,,,,,PAS
1,P015,Kelantan,Tumpat,Tuan Haji,Hassan Bin Haji Ahmad,,male,bumiputera,,,,,PAS
1,P088,Melaka,Melaka Selatan,Tuan,Hassan Bin Mansor,,male,bumiputera,,,,,Perikatan - UMNO
1,P059,Pahang,Raub,Tuan,Hussein Bin Toh Muda Hassan,,male,bumiputera,,,,,Perikatan - UMNO
1,P048,Perak,Parit,Tuan,Hussein Bin Mohd Noordin,,male,bumiputera,,,,,Perikatan - UMNO
1,P020,Kelantan,Kota Baru Hulu,Tuan Haji,Hussin Rahimi Bin Haji Saman,,male,bumiputera,,,,,PAS
1,P032,Pulau Pinang,Seberang Tengah,Tuan,Ibrahim Bin Abdul Rahman,,male,bumiputera,,,,,Perikatan - UMNO
1,P035,Pulau Pinang,Penang Selatan,Tuan,Ismail Bin Idris,,male,bumiputera,,,,,Perikatan - UMNO
1,P093,Johor,Batu Pahat,Tuan,Kang Kok Seng,,male,chinese,,,,,Perikatan - MCA
1,P073,Selangor,Damansara,Tuan,K. Karam Singh,,male,indian,,,,,BS - PRM
1,P028,Terengganu,Dungun,Puan,Khadijah Binti Mohd. Sidik,,female,bumiputera,,,,,PAS
1,P052,Perak,Batu Gajah,Tuan,Khong Kok Yat,,male,chinese,,,,,PPP
1,P095,Johor,Kluang Utara,Tuan,Lee San Choon,,male,chinese,,,,,Perikatan - MCA
1,P058,Perak,Tanjong Malim,Tuan,Lee Seck Fun,,male,chinese,,,,,Perikatan - MCA
1,P076,Selangor,Sepang,Tuan,Lee Siok Yew,,male,chinese,,,,,Perikatan - MCA
1,P053,Perak,Kampar,Tuan,Leong Kee Nyean,,male,chinese,,,,,Perikatan - MCA
1,P006,Kedah,Alor Setar,Tuan,Lim Joo Kong,,male,chinese,,,,,Perikatan - MCA
1,P037,Pulau Pinang,Dato' Keramat,Tuan,Lim Kean Siew,,male,chinese,,,,,BS - Buruh
1,P043,Perak,Larut Selatan,Tuan,Lim Swee Aun,,male,chinese,,,,,Perikatan - MCA
1,P068,Selangor,Rawang,Tuan,Liu Yoong Peng,,male,chinese,,,,,BS - Buruh
1,P082,Negeri Sembilan,Port Dickson,Tuan,T. Mahima Singh,,male,indian,,,,,Perikatan - MIC
1,P074,Selangor,Klang,Tuan,V. Manickavasagam,,male,indian,,,,,Perikatan - MIC
1,P083,Negeri Sembilan,Jelebu,Tuan,Mohamed Bin Ujang,,male,bumiputera,,,,,Perikatan - UMNO
1,P054,Perak,Hilir Perak,Tuan,Mohamed Abbas Bin Ahmad,,male,bumiputera,,,,,Perikatan - UMNO
1,P022,Kelantan,Pasir Puteh,Tuan,Mohamed Asri Bin Haji Muda,,male,bumiputera,,,,,PAS
1,P065,Selangor,Kuala Selangor,Tuan,Mohamed Dahari Bin Haji Mohd. Ali,,male,bumiputera,,,,,Perikatan - UMNO
1,P039,Perak,Ulu Perak,Tuan,Mohamed Nor Bin Mohd. Dahan,,male,bumiputera,,,,,Perikatan - UMNO
1,P021,Kelantan,Pasir Mas Hulu,Dato',Mohamed Hanifah Bin Haji Abdul Ghani,,male,bumiputera,,,,,PAS
1,P010,Kedah,Jerai,Tuan,Mohamed Ismail Bin Mohd. Yusof,,male,bumiputera,,,,,Perikatan - UMNO
1,P064,Pahang,Lipis,Tuan,Mohamed Sulong Bin Mohd. Ali,,male,bumiputera,,,,,Perikatan - UMNO
