Nama,Jawatan_dalam_Kabinet,Tempat_Duduk,Parlimen,Kawasan,Negeri,No_Telefon,No_Faks,Email,Alamat_Surat-menyurat,Gambar,vol,Parti,Jawatan_dalam_Parlimen,Hubungi
Y.T.M. Tunku Abdul Rahman Putra AlHaj,Perdana Menteri,,,Kuala Kedah,,,,,,,1.0,,,
Y.A.B. Tun Abdul Razak Bin Dato' Hussain,Timbalan Perdana Menteri,,,Pekan,,,,,,,1.0,,,
Dato' Dr. Ismail Bin Dato' Abdul Rahman,,,,Johor Timur,,,,,,,1.0,,,
Dato' V.T.Sambanthan,,,,Sungei Siput,,,,,,,1.0,,,
Dato' Suleiman Bin Dato' Abdul Rahman,,,,Muar Selatan,,,,,,,1.0,,,
Tuan Sardon Bin Haji Jubir,,,,Pontian Utara,,,,,,,1.0,,,
Dato' Ong Yoke Lin,,,,Ulu Selangor,,,,,,,1.0,,,
Tuan Tan Siew Sin,,,,Melaka Tengah,,,,,,,1.0,,,
Tuan Bahaman Bin Samsudin,,,,Kuala Pilah,,,,,,,1.0,,,
Tuan Abdul Rahman Bin Haji Talib,,,,Kuantan,,,,,,,1.0,,,
Tuan Abdul Aziz bin Ishak,,,,Kuala Langat,,,,,,,1.0,,,
Tuan Abdul Ghani Bin Ishak,,,,Melaka Utara,,,,,,,1.0,,,
Tuan Abdul Hamid Khan Bin Haji Sakhawat Ali Khan,,,,Batang Padang,,,,,,,1.0,,,
Tuan Haji Abdul Khalid Bin Awang Osman,,,,Kota Star Utara,,,,,,,1.0,,,
Tuan Abdul Rauf Bin A. Rahman,,,,Krian Laut,,,,,,,1.0,,,
Tuan Abdul Samad Bin Osman,,,,Sungei Petani,,,,,,,1.0,,,
Tuan Haji Abdullah Bin Haji Abdul Raof,,,,Kuala Kangsar,,,,,,,1.0,,,
Tuan Haji Abdullah Bin Haji Mohd Salleh,,,,Segamat Utara,,,,,,,1.0,,,
Tuan Haji Ahmad Bin Abdullah,,,,Kota Bharu Hilir,,,,,,,1.0,,,
Tuan Ahmad Bin Arshad,,,,Muar Utara,,,,,,,1.0,,,
Tuan Ahmad Boestamam,,,,Setapak,,,,,,,1.0,,,
Tuan Ahmad Bin Mohamed Shah,,,,Johor Bahru Barat,,,,,,,1.0,,,
Tuan Haji Ahmad Bin Saaid,,,,Seberang Utara,,,,,,,1.0,,,
Tuan Ahmad Bin Haji Yusof,,,,Krian Darat,,,,,,,1.0,,,
Tuan Haji Azahari Bin Haji Ibrahim,,,,Kubang Pasu Barat,,,,,,,1.0,,,
Tuan Aziz Bin Ishak,,,,Muar Dalam,,,,,,,1.0,,,
Dr. Burhanuddin Bin Mohd. Noor,,,,Besut,,,,,,,1.0,,,
Tuan Chan Chong Wen,,,,Kluang Selatan,,,,,,,1.0,,,
Tuan Chan Siang Sun,,,,Bentong,,,,,,,1.0,,,
Tuan Chan Swee Ho,,,,Ulu Kinta,,,,,,,1.0,,,
Tuan Cheah Theam Swee,,,,Bukit Bintang,,,,,,,1.0,,,
Tuan Chin See Yin,,,,Seremban Timur,,,,,,,1.0,,,
Tuan V. David,,,,Bungsar,,,,,,,1.0,,,
Datin Fatimah Binti Haji Hashim,,,,Jitra,,,,,,,1.0,,,
Tuan Geh Chong Keat,,,,Penang Utara,,,,,,,1.0,,,
Tuan Hamzah Bin Alang,,,,Kapar,,,,,,,1.0,,,
Tuan Hanafi Bin Mohd. Yunus,,,,Kulim Utara,,,,,,,1.0,,,
Tuan Harun Bin Abdullah,,,,Baling,,,,,,,1.0,,,
Tuan Harun Bin Pilus,,,,Terengganu Tengah,,,,,,,1.0,,,
Tuan Haji Hasan Adli Bin Haji Arshad,,,,Kuala Terengganu Utara,,,,,,,1.0,,,
Tuan Haji Hassan Bin Haji Ahmad,,,,Tumpat,,,,,,,1.0,,,
Tuan Hassan Bin Mansor,,,,Melaka Selatan,,,,,,,1.0,,,
Tuan Hussein Bin Toh Muda Hassan,,,,Raub,,,,,,,1.0,,,
Tuan Hussein Bin Mohd Noordin,,,,Parit,,,,,,,1.0,,,
Tuan Haji Hussin Rahimi Bin Haji Saman,,,,Kota Baru Hulu,,,,,,,1.0,,,
Tuan Ibrahim Bin Abdul Rahman,,,,Seberang Tengah,,,,,,,1.0,,,
Tuan Ismail Bin Idris,,,,Penang Selatan,,,,,,,1.0,,,
Tuan Kang Kok Seng,,,,Batu Pahat,,,,,,,1.0,,,
Tuan K. Karam Singh,,,,Damansara,,,,,,,1.0,,,
Puan Khadijah Binti Mohd. Sidik,,,,Dungun,,,,,,,1.0,,,
Tuan Khong Kok Yat,,,,Batu Gajah,,,,,,,1.0,,,
Tuan Lee San Choon,,,,Kluang Utara,,,,,,,1.0,,,
Tuan Lee Seck Fun,,,,Tanjong Malim,,,,,,,1.0,,,
Tuan Lee Siok Yew,,,,Sepang,,,,,,,1.0,,,
Tuan Leong Kee Nyean,,,,Kampar,,,,,,,1.0,,,
Tuan Lim Joo Kong,,,,Alor Setar,,,,,,,1.0,,,
Tuan Lim Kean Siew,,,,Dato' Keramat,,,,,,,1.0,,,
Tuan Lim Swee Aun,,,,Larut Selatan,,,,,,,1.0,,,
Tuan Liu Yoong Peng,,,,Rawang,,,,,,,1.0,,,
Tuan T. Mahima Singh,,,,Port Dickson,,,,,,,1.0,,,
Tuan V. Manickavasagam,,,,Klang,,,,,,,1.0,,,
Tuan Mohamed Bin Ujang,,,,Jelebu,,,,,,,1.0,,,
Tuan Mohamed Abbas Bin Ahmad,,,,Hilir Perak,,,,,,,1.0,,,
Tuan Mohamed Asri Bin Haji Muda,,,,Pasir Puteh,,,,,,,1.0,,,
Tuan Mohamed Dahari Bin Haji Mohd. Ali,,,,Kuala Selangor,,,,,,,1.0,,,
Tuan Mohamed Nor Bin Mohd. Dahan,,,,Ulu Perak,,,,,,,1.0,,,
Dato' Mohamed Hanifah Bin Haji Abdul Ghani,,,,Pasir Mas Hulu,,,,,,,1.0,,,
Tuan Mohamed Ismail Bin Mohd. Yusof,,,,Jerai,,,,,,,1.0,,,
Tuan Mohamed Sulong Bin Mohd. Ali,,,,Lipis,,,,,,,1.0,,,
Tuan Mohamed Yusof Bin Mahmud,,,,Temerloh,,,,,,,1.0,,,
Tuan Haji Mokhtar Bin Haji Ismail,,,,Perlis Selatan,,,,,,,1.0,,,
Tuan Nik Man Bin Nik Mohamed,,,,Pasir Mas Hilir,,,,,,,1.0,,,
Tuan Ng Ann Teck,,,,Batu,,,,,,,1.0,,,
Dato' Onn Bin Jaafar,,,,Kuala Terengganu Selatan,,,,,,,1.0,,,
Tuan Othman Bin Abdullah,,,,Tanah Merah,,,,,,,1.0,,,
Tuan Othman Bin Abdullah,,,,Perlis Utara,,,,,,,1.0,,,
Tuan Quek Kai Dong,,,,Seremban Barat,,,,,,,1.0,,,
Tuan Haji Redza Bin Haji Mohd. Said,,,,Rembau,,,,,,,1.0,,,
Tuan Seah Teng Ngiab,,,,Muar Pantai,,,,,,,1.0,,,
Tuan D.R Seenivasagam,,,,Ipoh,,,,,,,1.0,,,
Tuan S.P Seenivasagam,,,,Menglembu,,,,,,,1.0,,,
Tuan Syed Esa Bin Alwee,,,,Batu Pahat Dalam,,,,,,,1.0,,,
Tuan Syed Hashim Bin Syed Ajam,,,,Sabak Bernam,,,,,,,1.0,,,
Tuan Syed Ja'afar Bin Hasan Albar,,,,Johor Tenggara,,,,,,,1.0,,,
Tuan Tajudin Bin Ali,,,,Larut Utara,,,,,,,1.0,,,
Tuan Tan Cheng Bee,,,,Bagan,,,,,,,1.0,,,
Tuan Tan Kee Gak,,,,Bandar Melaka,,,,,,,1.0,,,
Tuan Tan Phock Kin,,,,Tanjong,,,,,,,1.0,,,
Tuan Tan Tye Chek,,,,Kulim,,,,,,,1.0,,,
Tengku Indra Petra Bin Sultan Ibrahim,,,,Ulu Kelantan,,,,,,,1.0,,,
Dato' Teoh Chze Chong,,,,Segamat Selatan,,,,,,,1.0,,,
Tuan V.Veerappen,,,,Seberang Selatan,,,,,,,1.0,,,
Tuan Wan Mustapha Bin Haji Ali,,,,Kelantan Hilir,,,,,,,1.0,,,
Tuan Wan Sulaiman Bin Wan Tam,,,,,,,,,,,1.0,,,
Tuan Wan Yahya Bin Haji Wan Mohamed,,,,Kemaman,,,,,,,1.0,,,
Tuan Woo Saik Hong,,,,Telok Anson,,,,,,,1.0,,,
Tuan Yahya Bin Haji Ahmad,,,,Bagan Datoh,,,,,,,1.0,,,
Tuan Yeoh Tat Beng,,,,Bruas,,,,,,,1.0,,,
Tuan Yong Woo Ming,,,,Sitiawan,,,,,,,1.0,,,
Puan Hajah Zain Binti Sulaiman,,,,Pontian Selatan,,,,,,,1.0,,,
Tuan Haji Zakaria bin Haji Mohd. Taib,,,,Langat,,,,,,,1.0,,,
Tuan Zulkiflee bin Muhammad,,,,Bachok,,,,,,,1.0,,,
Tuan Syed Esa Bin Alwee,Yang Dipertua Dewan Rakyat,,,,,,,,,,2.0,,,
Y.T.M. Tunku Abdul Rahman Putra Al,Perdana Menteri,,,Haj,,,,,,,2.0,,,
Y.A.B. Tun Haji Abdul Razak Bin Dato' Hussain,Timbalan Perdana Menteri,,,Pekan,,,,,,,2.0,,,
Dato' Dr. Ismail Bin Dato' Haji Abdul Rahman,,,,Johor Timur,,,,,,,2.0,,,
Tuan Tan Siew Sin,,,,Melaka Tengah,,,,,,,2.0,,,
Dato' V. T. Sambanthan,,,,Sungai Siput,,,,,,,2.0,,,
Dato' Haji Sardon Bin Haji Jubir,,,,Pontian Utara,,,,,,,2.0,,,
Tuan Bahaman Bin Samsudin,,,,Kuala Pilah,,,,,,,2.0,,,
