Nama,Jawatan_dalam_Kabinet,Tempat_Duduk,Parlimen,Kawasan,Negeri,No_Telefon,No_Faks,Email,Alamat_Surat-menyurat,Gambar,vol,Parti,Jawatan_dalam_Parlimen,Hubungi
YB Tan Sri Dato' (Dr.) Johari bin Abdul,Yang di-Pertua Dewan Rakyat,,,,-,03-26017260,03-20708654,johariabdul@parlimen.gov.my,"PEJABAT YANG DI-PERTUA DEWAN RAKYAT, JALAN PARLIMEN, PARLIMEN MALAYSIA, 50680, KUALA LUMPUR",/images/webuser/ahli/2022/ypdr.jpg,15.0,,,
YB Dato' Dr. Ramli bin Dato' Mohd Nor,Timbalan Yang di-Pertua Dewan Rakyat,A-26,P078,Cameron Highlands,Pahang,-,05-4912526,pusatkhidmatbnch@gmail.com,"Pejabat Timbalan Yang di-Pertua Dewan Rakyat I, Bangunan Parlimen, Parlimen Malaysia, 50680 Kuala Lumpur",/images/webuser/ahli/2022/P078.jpg,15.0,BN,FB : //www.facebook.com/Ramli4CH,
YB Puan Alice Lau Kiong Yieng,Timbalan Yang di-Pertua Dewan Rakyat,A-27,P211,Lanang,Sarawak,03-2601 7222,03-20704671,alicelau@parlimen.gov.my,"Pejabat Timbalan Yang di-Pertua Dewan Rakyat II, Bangunan Parlimen, Parlimen Malaysia, 50680 Kuala Lumpur",/images/webuser/ahli/2022/YB Lanang.JPG,15.0,PH,FB : //www.facebook.com/alicelky,
Dr. Nizam Mydin bin Bacha Mydin,Setiausaha Dewan Rakyat,Setiausaha Dewan Rakyat,,,-,03-26017372,03-26017372,nizam.mydin@parlimen.gov.my,"Pejabat Setiausaha Dewan Rakyat, Bangunan Parlimen, Jalan Parlimen, 50680 Kuala Lumpur.",/images/webuser/ahli/2022/Dr Nizam v2.jpg,15.0,,,
YAB Dato' Seri Anwar bin Ibrahim,Ketua Majlis,A-1,P063,Tambun,Perak,03-88888000,03-88883444,anwaribrahim@pmo.gov.my,"Pejabat Perdana Menteri, Blok Utama, Bangunan Perdana Putra, Pusat Pentadbiran Kerajaan Persekutuan, 62502 Putrajaya, Malaysia",/images/webuser/ahli/2022/P063.png,15.0,PH,,Perdana Menteri dan Menteri Kewangan
YAB Dato' Seri Dr. Ahmad Zahid bin Hamidi,Timbalan Ketua Majlis,A-2,P075,Bagan Datuk,Perak,03-8872 4830,03-8888 3430,zahid@jpm.gov.my,"Pejabat Timbalan Perdana Menteri, Aras 4, Blok Barat, Bangunan Perdana Putra, Pusat Pentadbiran Kerajaan Persekutuan, 62520 Putrajaya",/images/webuser/ahli/2022/YAB TPM 1.jpg,15.0,BN,,Timbalan Perdana Menteri dan Menteri Kemajuan Desa dan Wilayah
YAB Dato' Sri Haji Fadillah bin Haji Yusof,Timbalan Ketua Majlis,A-3,P194,Petra Jaya,Sarawak,082-444390,082-445390,fadillah194@gmail.com,"Pejabat Timbalan Perdana Menteri, Aras 4, Blok Barat, Bangunan Perdana Putra, Pusat Pentadbiran Kerajaan Persekutuan, 62520 Putrajaya",/images/webuser/ahli/2022/P194.jpg,15.0,GPS,,Timbalan Perdana Menteri dan Menteri Peralihan Tenaga dan Transformasi Air
YB Tuan Loke Siew Fook,,A-4,P128,Seremban,Negeri Sembilan,03-8892 1013,-,loke@mot.gov.my,"Pejabat Menteri, Kementerian Pengangkutan Malaysia, No. 26, Jalan Tun Hussein, Presint 4, 62100 W.P. Putrajaya",/images/webuser/ahli/2022/P128.png,15.0,PH,,Menteri Pengangkutan
YB Datuk Seri Haji Mohamad bin Sabu,,A-5,P111,Kota Raja,Selangor,03-88701003,03-88701035,mohamad.sabu@mafi.gov.my,"Pejabat Menteri, Aras 17, Wisma Tani, No. 28, Persiaran Perdana, Presint 4, Pusat Pentadbiran Kerajaan Persekutuan, 62624 Putrajaya",/images/webuser/ahli/2022/P111.png,15.0,PH,,Menteri Pertanian dan Keterjaminan Makanan
YB Dato' Seri Mohd Rafizi bin Ramli,,B-1,P100,Pandan,Selangor,03-80902001,-,rafizi.ramli@epu.gov.my,"Pejabat Menteri, Kementerian Ekonomi, Menara Prisma, No. 26, Persiaran Perdana, Presint 3, Pusat Pentadbiran Kerajaan, Persekutuan, 62675 Putrajaya",/images/webuser/ahli/2022/P100.png,15.0,PH,,Menteri Ekonomi
